Hashcode,Player,Age,Team,WAR,W,L,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,HBP,BK,WP,WHIP,Season,Pos'n,Salary,2024 ,Role,League,Division,Player_Season_Key,PA,IP_Dec,BIP,IP_True,Years_Included,Projection_Method,AB,Projection_Trusted,2B,3B,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days,BS,HLD,E,Age_Adjustment,Injury_Rate_Adj,Injury_Perf_Adj,Streak_Adjustment,Def_WAR
7266224357258494687595103662601216968,Germán Márquez,30,COL,-1.2,3,16,1.67941385776007,26,26,0,0,0,126.33329999999998,127.75101560926178,106,23.573988301840025,17.081641025683357,42.05777067356771,113.45831465744521,0,0,6,1.3441332276037237,2026,rhp-s,7,"$10,000,000 ",Pitcher,NL,West,7266224357258494687595103662601216968_2025,545.2358983062418,126.33329999999998,470.0,126.33329999999998,"[2020, 2021, 2022, 2023, 2025]",Trend,508.7510156092618,True,0,0,0.30941344502575574,169.8087862828295,378.9998999999999,21.10802639549344,0,100,Active,0,0,0,0,0.0,0,0,0.0,-1.1399831499640014
104826615453893487082340336558702282565,Kyle Hendricks,35,LAA,1.7,8,10,1.5421177003523932,31,31,0,0,0,167.95993199999995,161.80845140552256,92,28.779331565242696,21.08871559601792,52.45668496760988,107.04852798841509,0,0,0,1.2756919690413575,2026,rhp-s,9,"$16,000,000 ",Pitcher,AL,West,104826615453893487082340336558702282565_2025,622.9664700010412,164.66659999999996,552.0,167.95993199999995,"[2020, 2021, 2022, 2023, 2024, 2025]",Trend,672.8084514055225,True,0,0,0.29835918449648685,214.26513637313244,503.8797959999998,23.165965560423622,0,100,Active,0,0,0,0,0.0,0,0,0.0,0.28156040266384474
67454795180836464074460619205074557396,Shane Bieber,30,TOR,0.7,4,2,1.6033317338139452,7,7,0,0,0,50.0,44.842000075344494,16,8.907398521188584,5.535659592650585,15.239384926837198,54.41020297016899,0,0,0,1.2016277000436337,2026,rhp-s,5,"$13,125,000 ",Pitcher,AL,East,67454795180836464074460619205074557396_2025,207.63301446563807,40.3333,119.0,50.0,"[2020, 2021, 2022, 2023, 2024, 2025]",Trend,194.8420000753445,True,0,0,0.2859909982103257,60.08138500218169,150.0,30.011626428883098,0,100,Active,0,0,0,0,0.0,0,0,0.0,0.307013905346719
50563646090346541520176716758214834685,Yu Darvish,38,SDP,0.0,5,5,1.511215451220206,15,15,0,0,0,72.0,60.927790019949185,44,12.089723609761649,8.789730249039195,22.7445184605736,64.1887602235474,0,0,4,1.1621153955628165,2026,rhp-s,12,"$16,000,000 ",Pitcher,NL,West,50563646090346541520176716758214834685_2025,255.69080128458654,72.0,220.0,72.0,"[2020, 2021, 2022, 2023, 2024, 2025]",Trend,276.92779001994916,True,0,0,0.2792126803600242,83.67230848052279,216.0,19.97815389870152,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.5786228576761594
160627277650571226929575715229018270002,Aaron Civale,30,CHC,0.3,1,0,1.5508142108930558,5,0,0,0,1,50.0,44.856084816944445,3,8.615634504961422,7.622100572302898,15.341542532480663,46.34703458906278,0,0,0,1.2039525469885022,2026,rhp-s,4,"$4,900,000 ",Pitcher,NL,Central,160627277650571226929575715229018270002_2025,213.30820479681685,13.0,35.0,50.0,"[2020, 2021, 2022, 2023, 2023, 2024, 2024, 2025, 2025, 2025]",Trend,194.85608481694445,True,0,0,0.28638585558035207,60.197627349425105,150.0,42.03952546988502,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.6854564557819667
88410921634422269973166202706844818622,Brandon Woodruff,32,MIL,1.3,7,2,1.644695460573294,12,12,0,0,0,64.6666,52.632624574727906,26,11.817429274523219,7.87404953562206,19.558608267977252,73.96799383916202,0,0,1,1.1163604216505145,2026,rhp-s,5,"$2,500,000 ",Pitcher,NL,Central,88410921634422269973166202706844818622_2025,261.11872289391545,64.6666,159.0,64.6666,"[2020, 2021, 2022, 2023, 2025]",Trend,251.6326245747279,True,0,0,0.2712008442649668,72.19123284270516,193.9998,22.18258607022543,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.31417945550198323
141369181445612779946709373396476168051,Antonio Senzatela,30,COL,-0.5,4,15,1.8691549311082842,30,23,0,0,0,130.0,143.01125001482515,103,26.998904560452996,16.186805563774836,39.81218575039772,85.75337645761059,0,1,9,1.4063341212709453,2026,rhp-s,6,"$12,000,000 ",Pitcher,NL,West,141369181445612779946709373396476168051_2025,572.1989752436516,130.0,517.0,130.0,"[2020, 2021, 2022, 2024, 2025]",Trend,533.0112500148251,True,0,0,0.3191619342895649,182.82343576522288,390.0,19.094114525507432,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.48887151771775755
158987175896159412710605144132786067377,Lucas Giolito,30,BOS,2.1,10,4,1.4856431304079079,26,26,0,0,0,145.0,134.59852969898427,62,23.935361545460736,24.756764784630818,53.42176134876566,161.8362763705679,0,0,4,1.2966916623982754,2026,rhp-s,6,"$18,000,000 ",Pitcher,AL,East,158987175896159412710605144132786067377_2025,617.5198558176692,145.0,446.0,145.0,"[2020, 2021, 2022, 2023, 2023, 2023, 2025]",Trend,569.5985296989843,True,0,0,0.30178839076260444,188.02029104774994,435.0,23.962318886451918,0,100,Active,0,0,0,0,0.0,0,0,0.0,0.26326723878489466
112079525595244582850114200148831025259,Zac Gallen,29,ARI,1.1,13,15,1.27505471768496,33,33,0,0,0,195.84,173.26184649379468,109,27.745190656824732,23.8498909654655,63.83358938964481,207.54182821407554,0,0,2,1.2106588842087391,2026,rhp-s,4,"$10,011,000 ",Pitcher,NL,West,112079525595244582850114200148831025259_2025,826.6561513215208,192.0,581.0,195.84,"[2020, 2021, 2022, 2023, 2024, 2025]",Trend,766.2618464937947,True,0,0,0.2875224323559149,237.09543588343948,587.52,24.988346541922407,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.7059572500993887
196112672296838564746424125141733703839,Aaron Nola,32,PHI,-0.3,5,10,1.3217904051416465,17,17,0,0,0,94.33329999999998,88.0538307331789,65,13.85431675837205,13.860457420268832,27.715631284450343,106.43264337087184,0,0,1,1.2272385469142844,2026,rhp-s,8,"$24,571,429 ",Pitcher,NL,East,196112672296838564746424125141733703839_2025,385.471523184076,94.33329999999998,289.0,94.33329999999998,"[2020, 2021, 2022, 2023, 2024, 2025]",Trend,373.05383073317887,True,0,0,0.2903168423769507,115.76946201762924,282.9998999999999,23.457021295154654,0,100,Active,0,0,0,0,0.0,0,0,0.0,-1.174175460132623
