Hashcode,Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP,League,Teams,Leagues,AB,2B,3B,HBP,Season,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days
14144,JT Brubaker,PIT,29,28,28,0,0,144.0,157,75,147,54,17,3,12,0,0,0,4.69,1.47,NL,['PIT'],['NL'],589.0,0,0,0,"[2022, 2023, 2024]",0.3288590604026846,211,432.0,22.964285714285715,0,100,Active,0
786271,Dylan Bundy,MIN,30,29,29,0,0,140.0,151,76,94,28,24,8,8,0,0,0,4.89,1.28,AL,['MIN'],['AL'],571.0,0,0,0,"[2022, 2023, 2024]",0.29906542056074764,179,420.0,20.655172413793103,0,100,Active,0
927484,Zach Thompson,PIT,29,29,22,0,0,121.2,138,70,90,46,19,3,10,0,0,0,5.18,1.51,NL,['PIT'],['NL'],501.6,0,0,0,"[2022, 2023, 2024]",0.3348115299334812,184,363.6,18.882758620689657,0,100,Active,0
639829,Ian Anderson,ATL,24,22,22,0,0,111.2,115,62,97,54,12,10,6,0,0,0,5.0,1.51,NL,['ATL'],['NL'],448.6,0,0,0,"[2022, 2023, 2024]",0.3348115299334812,169,333.6,22.845454545454547,0,100,Active,0
894870,Drew Hutchison,DET,32,28,18,0,0,105.1,114,53,68,42,15,3,9,0,0,0,4.53,1.48,AL,['DET'],['AL'],429.29999999999995,0,0,0,"[2022, 2023, 2024]",0.33035714285714285,156,315.29999999999995,16.832142857142856,0,100,Active,0
370091,Adrian Sampson,CHC,31,21,19,0,0,104.1,101,36,73,27,10,4,5,0,0,0,3.11,1.23,NL,['CHC'],['NL'],413.29999999999995,0,0,0,"[2022, 2023, 2024]",0.2907801418439716,128,312.29999999999995,20.966666666666665,0,100,Active,0
122902,Chris Archer,MIN,34,25,25,0,0,102.2,87,52,84,48,12,2,8,0,0,0,4.56,1.31,AL,['MIN'],['AL'],393.6,0,0,0,"[2022, 2023, 2024]",0.3039443155452436,135,306.6,17.664,0,100,Active,0
251290,Mike Minor,CIN,35,19,19,0,0,98.0,120,66,76,40,24,4,12,0,0,0,6.06,1.63,NL,['CIN'],['NL'],414.0,0,0,0,"[2022, 2023, 2024]",0.3520518358531317,160,294.0,23.894736842105264,0,100,Active,0
1040074,Jason Alexander,MIL,30,18,11,0,0,71.2,88,43,46,28,12,2,3,0,0,0,5.4,1.62,NL,['MIL'],['NL'],301.6,0,0,0,"[2022, 2023, 2024]",0.35064935064935066,116,213.60000000000002,18.311111111111114,0,100,Active,0
117942,Caleb Smith,ARI,31,44,1,0,0,70.0,57,32,65,39,14,1,3,0,0,4,4.11,1.37,AL,['ARI'],['AL'],267.0,0,0,0,"[2022, 2023, 2024]",0.3135011441647597,96,210.0,6.954545454545454,0,100,Active,0
413821,Anibal Sanchez,WAS,39,14,14,0,0,69.1,55,33,48,33,13,4,6,0,0,0,4.28,1.27,NL,['WAS'],['NL'],262.29999999999995,0,0,0,"[2022, 2023, 2024]",0.29742388758782207,88,207.29999999999998,21.092857142857138,0,100,Active,0
963985,Steve Cishek,WAS,36,69,0,0,0,66.1,54,31,74,27,11,1,4,1,2,6,4.21,1.22,NL,['WAS'],['NL'],252.29999999999998,0,0,0,"[2022, 2023, 2024]",0.2890995260663507,81,198.29999999999998,4.047826086956521,0,100,Active,0
1030970,Jarlin Garcia,SF,30,58,0,0,0,65.0,60,27,56,18,10,1,4,1,2,4,3.74,1.2,NL,['SF'],['NL'],255.0,0,0,0,"[2022, 2023, 2024]",0.2857142857142857,78,195.0,4.706896551724138,0,100,Active,0
91948,Rowan Wick,CHC,30,64,0,0,0,64.0,79,30,69,29,9,4,7,9,5,5,4.22,1.69,NL,['CHC'],['NL'],271.0,0,0,0,"[2022, 2023, 2024]",0.36034115138592754,108,192.0,4.6875,0,100,Active,0
465751,David Phelps,TOR,36,65,1,0,0,63.2,52,20,64,31,2,0,2,1,1,9,2.83,1.3,AL,['TOR'],['AL'],241.60000000000002,0,0,0,"[2022, 2023, 2024]",0.3023255813953489,83,189.60000000000002,4.193846153846154,0,100,Active,0
84154,Davis Martin,CWS,26,14,9,0,0,63.1,63,34,48,19,8,3,6,0,1,0,4.83,1.29,AL,['CWS'],['AL'],252.3,0,0,0,"[2022, 2023, 2024]",0.30069930069930073,82,189.3,19.37857142857143,0,100,Active,0
838302,Elieser Hernandez,MIA,27,20,10,0,0,62.1,67,44,60,22,19,3,6,0,1,0,6.35,1.43,NL,['MIA'],['NL'],253.3,0,0,0,"[2022, 2023, 2024]",0.3227990970654628,89,186.3,13.765,0,100,Active,0
653770,Mark Melancon,ARI,38,62,0,0,0,56.0,63,29,35,21,5,3,10,18,3,1,4.66,1.5,AL,['ARI'],['AL'],231.0,0,0,0,"[2022, 2023, 2024]",0.3333333333333333,84,168.0,4.064516129032258,0,100,Active,0
256437,Rony Garcia,DET,25,16,8,0,0,51.0,40,25,48,13,9,3,3,0,0,0,4.41,1.04,AL,['DET'],['AL'],193.0,0,0,0,"[2022, 2023, 2024]",0.25742574257425743,53,153.0,12.875,0,100,Active,0
511362,Hirokazu Sawamura,BOS,35,49,0,0,0,50.2,45,21,40,27,4,1,1,0,0,3,3.73,1.42,AL,['BOS'],['AL'],195.60000000000002,0,0,0,"[2022, 2023, 2024]",0.3212669683257918,72,150.60000000000002,4.542857142857144,0,100,Active,0
25696,Brett Martin,TEX,27,55,1,0,0,50.0,50,23,40,18,4,1,7,3,3,7,4.14,1.36,AL,['TEX'],['AL'],200.0,0,0,0,"[2022, 2023, 2024]",0.3119266055045872,68,150.0,3.963636363636364,0,100,Active,0
802075,Noe Ramirez,ARI,33,55,0,0,0,50.0,45,29,51,26,9,5,4,0,4,11,5.22,1.42,AL,['ARI'],['AL'],195.0,0,0,0,"[2022, 2023, 2024]",0.3212669683257918,71,150.0,4.0181818181818185,0,100,Active,0
453145,Lance McCullers,HOU,29,8,8,0,0,47.2,37,12,50,22,4,4,2,0,0,0,2.27,1.24,AL,['HOU'],['AL'],178.60000000000002,0,0,0,"[2022, 2023, 2024]",0.29245283018867924,59,141.60000000000002,25.075000000000003,0,100,Active,0
943756,Jhoulys Chacin,COL,35,35,0,0,0,47.1,55,40,37,21,7,4,2,0,0,2,7.61,1.61,NL,['COL'],['NL'],196.3,0,0,0,"[2022, 2023, 2024]",0.3492407809110629,76,141.3,6.208571428571429,0,100,Active,0
369816,Michael Pineda,DET,34,11,11,0,0,46.2,58,30,26,8,13,2,7,0,0,0,5.79,1.41,AL,['DET'],['AL'],196.60000000000002,0,0,0,"[2022, 2023, 2024]",0.31972789115646255,66,138.60000000000002,18.6,0,100,Active,0
999296,Jake Odorizzi,ATL,33,44,44,0,0,212.2,212,104,172,70,28,12,12,0,0,0,5.24,1.55,NL,"['HOU', 'ATL']","['NL', 'AL']",848.5999999999999,0,0,0,"[2022, 2023, 2024]",0.34065934065934067,282,636.5999999999999,20.877272727272725,0,100,Active,0
623734,Matt Foster,CWS,28,48,0,0,0,45.0,43,22,42,17,6,1,2,1,0,5,4.4,1.33,AL,['CWS'],['AL'],178.0,0,0,0,"[2022, 2023, 2024]",0.3071593533487298,60,135.0,4.0625,0,100,Active,0
943140,Corey Knebel,PHI,31,46,0,0,0,44.2,33,17,41,28,4,3,5,12,4,2,3.43,1.37,NL,['PHI'],['NL'],165.60000000000002,0,0,0,"[2022, 2023, 2024]",0.3135011441647597,61,132.60000000000002,4.208695652173914,0,100,Active,0
96331,Humberto Castellanos,ARI,25,11,9,0,0,44.1,50,28,32,12,7,3,2,0,0,0,5.68,1.4,AL,['ARI'],['AL'],182.3,0,0,0,"[2022, 2023, 2024]",0.3181818181818181,62,132.3,17.663636363636364,0,100,Active,0
720417,Matt Wisler,TB,30,39,5,0,0,44.0,30,11,35,14,6,3,3,1,3,5,2.25,1.0,AL,['TB'],['AL'],162.0,0,0,0,"[2022, 2023, 2024]",0.25,44,132.0,4.512820512820513,0,100,Active,0
120719,Tommy Nance,MIA,32,35,2,0,0,43.2,45,21,57,21,5,2,3,0,2,2,4.33,1.51,NL,['MIA'],['NL'],174.60000000000002,0,0,0,"[2022, 2023, 2024]",0.3348115299334812,66,129.60000000000002,5.588571428571429,0,100,Active,0
870861,Lucas Gilbreath,COL,27,47,0,0,0,43.0,37,20,49,26,2,2,0,0,2,12,4.19,1.47,NL,['COL'],['NL'],166.0,0,0,0,"[2022, 2023, 2024]",0.3288590604026846,63,129.0,4.085106382978723,0,100,Active,0
918910,Garrett Richards,TEX,34,32,2,0,0,42.2,44,25,36,13,3,1,1,1,0,3,5.27,1.34,AL,['TEX'],['AL'],170.60000000000002,0,0,0,"[2022, 2023, 2024]",0.30875576036866365,57,126.60000000000001,5.737500000000001,0,100,Active,0
366919,Victor Arano,WAS,28,43,0,0,0,42.0,47,21,44,12,5,1,1,1,1,7,4.5,1.4,NL,['WAS'],['NL'],173.0,0,0,0,"[2022, 2023, 2024]",0.3181818181818181,59,126.0,4.3023255813953485,0,100,Active,0
