Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP,AB,2B,3B,HBP,Season,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days,League,City,Mascot
Lucas Detmers,MEL,27,32,32,6,1,228.2,174,58,207,50,16,14,9,0,0,0,2.28,0.98,858.5999999999999,0,0,0,2022,0.24623115577889446,224,684.5999999999999,28.393749999999997,0,100,Healthy,0,NNL,Melbourne,Koi
Jose Rucker,BRI,29,32,32,2,1,205.0,168,74,235,29,19,11,13,0,0,0,3.25,0.96,783.0,0,0,0,2022,0.24242424242424243,197,615.0,25.375,0,100,Healthy,0,NNL,Brighton,Swordtail
Alfonso Pop,GIL,34,33,32,1,0,202.1,170,74,153,39,25,12,13,0,0,0,3.29,1.03,776.3,0,0,0,2022,0.25558312655086846,209,606.3,24.706060606060603,0,100,Healthy,0,NNL,Gilbert,Gopher
MJ Morton,FIT,28,33,33,0,0,202.0,144,66,243,51,23,12,8,0,0,0,2.94,0.97,750.0,0,0,0,2022,0.2443324937027708,195,606.0,24.272727272727273,0,100,Healthy,0,NNL,Fitchburg,Badger
Kyle Hudson,CHA,29,31,31,3,1,201.1,166,63,194,67,11,17,6,0,0,0,2.82,1.16,769.3,0,0,0,2022,0.2788461538461538,233,603.3,26.97741935483871,0,100,Healthy,0,SOL,Chattanooga,Bee
Will Shaw,NEW,32,33,33,0,0,200.2,154,78,257,50,33,13,8,0,0,0,3.5,1.02,754.5999999999999,0,0,0,2022,0.2537313432835821,204,600.5999999999999,24.38181818181818,0,100,Healthy,0,SOL,Newport News,Horse
Tyrone Cueto,WES,34,33,33,0,0,200.1,167,75,177,61,21,13,8,0,0,0,3.37,1.14,767.3,0,0,0,2022,0.2753623188405797,228,600.3,25.099999999999998,0,100,Healthy,0,SOL,Westminster,Tarsier
Nathan Szapucki,NAS,27,31,31,1,0,200.0,172,64,198,36,18,13,8,0,0,0,2.88,1.04,772.0,0,0,0,2022,0.25742574257425743,208,600.0,26.06451612903226,0,100,Healthy,0,SOL,Nashville,Crow
Spencer Lamet,HAR,25,31,31,0,0,196.2,144,49,180,51,16,16,7,0,0,0,2.24,0.99,732.5999999999999,0,0,0,2022,0.24812030075187969,195,588.5999999999999,25.277419354838706,0,100,Healthy,0,SOL,Hartford,Zebra
Aaron Acevedo,BRE,32,32,32,1,1,196.1,178,63,169,69,11,12,8,0,0,0,2.89,1.26,766.3,0,0,0,2022,0.29577464788732394,247,588.3,26.103125,0,100,Healthy,0,SOL,Bremerton,Planarian
