Hashcode,Player,Age,Team,WAR,W,L,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,HBP,BK,WP,WHIP,Season,Pos'n,Salary,2024 ,Role,League,Division,Player_Season_Key,PA,IP_Dec,BIP,IP_True,Years_Included,Projection_Method,AB,Projection_Trusted,2B,3B,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days,BS,HLD,E,Age_Adjustment,Injury_Rate_Adj,Injury_Perf_Adj,Streak_Adjustment,Def_WAR
218906952809208616391802039394074324692,Logan Webb,28,SFG,3.9,15,11,1.542156643805758,34,34,0,0,0,210.0,200.0804448443025,82,35.98365502213435,17.59528576664444,57.980970960540205,193.98343021875377,0,0,2,1.228863884784965,2026,rhp-s,4,"$8,000,000 ",Pitcher,NL,West,218906952809208616391802039394074324692_2025,886.6433085885322,207.0,613.0,210.0,"[2023, 2024, 2025]",Trend,830.0804448443025,True,0,0,0.2905896047414286,258.0614158048427,630.0,26.119453406024785,0,100,Active,0,0,0,0,0.0,0,0,0.0,-2.4760407158189595
112079525595244582850114200148831025259,Zac Gallen,29,ARI,1.1,13,15,1.6860862006386816,33,33,0,0,0,195.84,176.66680812906372,109,36.68923572589771,24.2336349864916,63.465404244099545,197.56591109741362,0,0,2,1.2261653001080641,2026,rhp-s,4,"$10,011,000 ",Pitcher,NL,West,112079525595244582850114200148831025259_2025,832.6079180956442,192.0,581.0,195.84,"[2023, 2024, 2025]",Trend,769.6668081290637,True,0,0,0.2901366163024221,240.13221237316327,587.52,25.08037007191404,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.7059572500993887
293153207132467411019115554011984160921,Miles Mikolas,36,STL,0.3,8,11,1.8911644641131244,31,31,0,0,0,159.45996599999998,155.90577218538044,87,33.50722457198745,20.320797008965965,47.26550322082152,96.8114472876939,0,0,1,1.2741209000772142,2026,rhp-s,7,"$17,666,667 ",Pitcher,NL,Central,293153207132467411019115554011984160921_2025,596.5629390007896,156.33329999999998,541.0,159.45996599999998,"[2023, 2024, 2025]",Trend,637.9057721853804,True,0,0,0.29810127740050507,203.17127540620197,478.3798979999999,21.985521722780707,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.235705636958698
214993367207881287726518102837965426548,Chris Bassitt,36,TOR,2.1,11,9,1.7758348678781706,32,31,1,0,0,173.73996599999998,165.28693021309545,80,34.28149884075198,18.742853303600786,67.71219404131531,138.76086618292692,0,3,4,1.3410796008467665,2026,rhp-s,7,"$22,000,000 ",Pitcher,AL,East,214993367207881287726518102837965426548_2025,653.1285312235539,170.33329999999998,532.0,173.73996599999998,"[2023, 2024, 2025]",Trend,691.2869302130955,True,0,0,0.3089276687267326,232.99912425441076,521.219898,23.569344445450334,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.7485242790377051
276924044904130283584024553515233883168,Framber Valdez,31,HOU,3.8,13,11,1.6333267645263452,31,31,2,0,0,195.84,172.0231138868575,82,35.54119039609327,18.339275624689108,64.32524278379515,188.67054441774826,0,1,12,1.206844141496388,2026,lhp-s,4,"$12,100,000 ",Pitcher,AL,West,276924044904130283584024553515233883168_2025,820.2870698876889,192.0,567.0,195.84,"[2023, 2024, 2025]",Trend,765.0231138868575,True,0,0,0.2868763616869128,236.34835667065263,587.52,26.576398602279117,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.5170683612104998
287003811626651901159013285640564060807,Luis Castillo,32,SEA,2.1,11,8,1.6706094131089568,32,32,0,0,0,184.27993199999997,168.13879929424687,76,34.20664322736427,23.956576792050445,57.705651429628325,182.67123891396034,0,0,3,1.2255509771073456,2026,rhp-s,6,"$24,150,000 ",Pitcher,AL,West,287003811626651901159013285640564060807_2025,760.7462949580851,180.66659999999996,555.0,184.27993199999997,"[2023, 2024, 2025]",Trend,723.1387992942468,True,0,0,0.29003341428064183,225.84445072387518,552.839796,24.3338827101211,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.9568989978074005
338008446176538542889699769905548246399,Mitch Keller,29,PIT,1.4,6,15,1.7165246750575403,32,32,0,0,0,179.859966,171.3032453053842,91,34.30378552155669,22.55784150752686,57.225021491748805,176.38059753668392,0,0,5,1.2705899588412743,2026,rhp-s,4,"$5,854,000 ",Pitcher,NL,Central,338008446176538542889699769905548246399_2025,779.3609488489546,176.33329999999998,560.0,179.859966,"[2023, 2024, 2025]",Trend,717.3032453053842,True,0,0,0.29752094466733103,228.528266797133,539.579898,24.003380149910406,0,100,Active,0,0,0,0,0.0,0,0,0.0,-1.4143354431033108
200632529582238833751622507721868473243,Pablo López,29,MIN,2.1,5,4,1.830376770565823,14,14,0,0,0,75.6666,67.7623641938598,28,15.3887096608551,8.861263374711195,22.97799678542976,82.13671202211792,0,2,1,1.1992128756847744,2026,rhp-s,5,"$8,250,000 ",Pitcher,AL,Central,200632529582238833751622507721868473243_2025,321.29847855975254,75.6666,222.0,75.6666,"[2023, 2024, 2025]",Trend,299.7623641938598,True,0,0,0.28558039594246964,90.74036097928956,226.9998,22.69572578423497,0,100,Active,0,0,0,0,0.0,0,0,0.0,0.21146304000736937
14990678815731014196898123011536589329,Corbin Burnes,30,ARI,1.9,3,2,1.8009966234358863,11,11,0,0,0,64.33329999999998,54.80115247758191,23,12.873784008276429,7.543542602691102,21.55791482193943,62.84008620785451,0,2,1,1.1869291222356286,2026,rhp-s,5,"$15,637,500 ",Pitcher,NL,West,14990678815731014196898123011536589329_2025,269.7945572772711,64.33329999999998,182.0,64.33329999999998,"[2023, 2024, 2025]",Trend,249.80115247758192,True,0,0,0.28348440768490074,76.35906729952134,192.99989999999994,24.487178845411027,0,100,Active,0,0,0,0,0.0,0,0,0.0,0.8437692490842956
196112672296838564746424125141733703839,Aaron Nola,32,PHI,-0.3,5,10,1.8438490447289329,17,17,0,0,0,94.33329999999998,89.49333385658527,65,19.32626278790309,14.505938221697093,29.279124671551216,92.61855597606524,0,0,1,1.259072443433406,2026,rhp-s,8,"$24,571,429 ",Pitcher,NL,East,196112672296838564746424125141733703839_2025,393.4117929670902,94.33329999999998,289.0,94.33329999999998,"[2023, 2024, 2025]",Trend,374.49333385658525,True,0,0,0.2956212790826394,118.77245852813648,282.9998999999999,23.633668148713905,0,100,Active,0,0,0,0,0.0,0,0,0.0,-1.174175460132623
