Player_Season_Key,Player,Age,Team,WAR,W,L,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,HBP,BK,WP,WHIP,Season,Hashcode,Pos'n,Salary,2024 ,Role,League,Division,PA,Teams,Leagues,Injury_Rate_Adj,Injury_Perf_Adj,Streak_Adjustment
218906952809208616391802039394074324692_2023,Logan Webb,26,SFG,5.6,11,13,3.25,33,33,2,1,0,216.0,201,83,78,20,31,194,5,0,1,1.074,2023,218906952809208616391802039394074324692,rhp-s,4,"$8,000,000 ",Pitcher,NL,West,885.0,['SFG'],['NL'],0,0,0.0
112079525595244582850114200148831025259_2023,Zac Gallen,27,ARI,4.4,17,9,3.47,34,34,1,1,0,210.0,188,87,81,22,47,220,5,1,8,1.119,2023,112079525595244582850114200148831025259,rhp-s,4,"$10,011,000 ",Pitcher,NL,West,870.0,['ARI'],['NL'],0,0,0.0
194224023209722277274132019589574112220_2023,Gerrit Cole,32,NYY,7.4,15,4,2.63,33,33,2,2,0,209.0,157,64,61,20,48,222,7,1,4,0.981,2023,194224023209722277274132019589574112220,rhp-s,10,"$36,000,000 ",Pitcher,AL,East,839.0,['NYY'],['AL'],0,0,0.0
293153207132467411019115554011984160921_2023,Miles Mikolas,34,STL,1.9,9,13,4.78,35,35,0,0,0,201.1,226,110,107,26,39,137,8,0,4,1.316,2023,293153207132467411019115554011984160921,rhp-s,7,"$17,666,667 ",Pitcher,NL,Central,877.0,['STL'],['NL'],0,0,0.0
214993367207881287726518102837965426548_2023,Chris Bassitt,34,TOR,2.7,16,8,3.6,33,33,1,1,0,200.0,176,88,80,28,59,186,12,3,4,1.175,2023,214993367207881287726518102837965426548,rhp-s,7,"$22,000,000 ",Pitcher,AL,East,847.0,['TOR'],['AL'],0,0,0.0
276924044904130283584024553515233883168_2023,Framber Valdez,29,HOU,3.2,12,11,3.45,31,31,2,2,0,198.0,166,86,76,19,57,200,10,0,6,1.126,2023,276924044904130283584024553515233883168,lhp-s,4,"$12,100,000 ",Pitcher,AL,West,827.0,['HOU'],['AL'],0,0,0.0
287003811626651901159013285640564060807_2023,Luis Castillo,30,SEA,3.2,14,9,3.34,33,33,0,0,0,197.0,160,81,73,28,56,219,5,0,3,1.096,2023,287003811626651901159013285640564060807,rhp-s,6,"$24,150,000 ",Pitcher,AL,West,812.0,['SEA'],['AL'],0,0,0.0
338008446176538542889699769905548246399_2023,Mitch Keller,27,PIT,3.0,13,9,4.21,32,32,1,1,0,194.1,187,97,91,25,55,210,12,1,5,1.245,2023,338008446176538542889699769905548246399,rhp-s,4,"$5,854,000 ",Pitcher,NL,Central,837.0,['PIT'],['NL'],0,0,0.0
200632529582238833751622507721868473243_2023,Pablo López,27,MIN,3.5,11,8,3.66,32,32,1,1,0,194.0,176,81,79,24,48,234,9,0,7,1.155,2023,200632529582238833751622507721868473243,rhp-s,5,"$8,250,000 ",Pitcher,AL,Central,815.0,['MIN'],['AL'],0,0,0.0
14990678815731014196898123011536589329_2023,Corbin Burnes,28,MIL,3.5,10,8,3.39,32,32,0,0,0,193.2,141,77,73,22,66,200,8,1,10,1.069,2023,14990678815731014196898123011536589329,rhp-s,5,"$15,637,500 ",Pitcher,NL,Central,796.0,['MIL'],['NL'],0,0,0.0
196112672296838564746424125141733703839_2023,Aaron Nola,30,PHI,2.3,12,9,4.46,32,32,0,0,0,193.2,178,105,96,32,45,202,1,0,2,1.151,2023,196112672296838564746424125141733703839,rhp-s,8,"$24,571,429 ",Pitcher,NL,East,805.0,['PHI'],['NL'],0,0,0.0
242591739485461050525040341076291548541_2023,Kyle Gibson,35,BAL,0.7,15,9,4.73,33,33,0,0,0,192.0,198,101,101,23,55,157,6,0,8,1.318,2023,242591739485461050525040341076291548541,rhp-s,10,"$12,000,000 ",Pitcher,AL,East,835.0,['BAL'],['AL'],0,0,0.0
226897916307641009040934671048722819339_2023,Zack Wheeler,33,PHI,4.2,13,6,3.61,32,32,0,0,0,192.0,168,82,77,20,39,212,9,0,1,1.078,2023,226897916307641009040934671048722819339,rhp-s,10,"$23,500,000 ",Pitcher,NL,East,792.0,['PHI'],['NL'],0,0,0.0
231369128216524093498049139513562818515_2023,Logan Gilbert,26,SEA,2.8,13,7,3.73,32,32,1,1,0,190.2,169,82,79,29,36,189,2,0,6,1.075,2023,231369128216524093498049139513562818515,rhp-s,2,"$4,050,000 ",Pitcher,AL,West,779.0,['SEA'],['AL'],0,0,0.0
50397370415003096887420499612310825047_2023,George Kirby,25,SEA,3.8,13,10,3.35,31,31,1,0,0,190.2,179,74,71,22,19,172,6,0,1,1.038,2023,50397370415003096887420499612310825047,rhp-s,1,"$798,600 ",Pitcher,AL,West,776.0,['SEA'],['AL'],0,0,0.0
89055503533469720797918363298301662918_2023,José Berríos,29,TOR,2.5,11,12,3.65,32,32,0,0,0,189.2,173,82,77,25,52,184,9,1,4,1.186,2023,89055503533469720797918363298301662918,,740000,,,AL,East,803.0,['TOR'],['AL'],0,0,0.0
73234253507158700641326299007821856903_2023,Jordan Montgomery,30,TEX,1.8,10,11,2.79,32,32,0,0,0,188.2,177,21,67,18,48,166,4,0,6,1.094,2023,73234253507158700641326299007821856903,lhp-s,6,"$25,000,000 ",Pitcher,AL,West,795.0,"['TEX', 'STL']","['AL', 'NL']",0,0,0.0
294400391395665697006864615322710197330_2023,Spencer Strider,24,ATL,3.0,20,5,3.86,32,32,0,0,0,186.2,146,85,80,22,58,281,9,2,6,1.093,2023,294400391395665697006864615322710197330,rhp-s,2,"$1,000,000 ",Pitcher,NL,East,773.0,['ATL'],['NL'],0,0,0.0
234875434716038137103550097859183445507_2023,Kevin Gausman,32,TOR,3.5,12,9,3.16,31,31,0,0,0,185.0,163,72,65,19,55,237,3,2,3,1.178,2023,234875434716038137103550097859183445507,rhp-s,9,"$24,000,000 ",Pitcher,AL,East,776.0,['TOR'],['AL'],0,0,0.0
244330477074860976492387142991655192103_2023,Sandy Alcantara,27,MIA,3.9,7,12,4.14,28,28,3,1,0,184.2,176,91,85,22,48,151,5,1,4,1.213,2023,244330477074860976492387142991655192103,rhp-s,5,"$9,300,000 ",Pitcher,NL,East,783.0,['MIA'],['NL'],0,0,0.0
158987175896159412710605144132786067377_2023,Lucas Giolito,28,CLE,-0.7,8,15,7.04,33,33,0,0,0,183.39999999999998,169,27,100,41,73,204,9,0,5,1.5,2023,158987175896159412710605144132786067377,rhp-s,6,"$18,000,000 ",Pitcher,AL,Central,804.0,"['CLE', 'CHW', 'LAA']",['AL'],0,0,0.0
226008076789094669336110092497395081706_2023,Sonny Gray,33,MIN,5.6,8,8,2.79,32,32,0,0,0,184.0,156,59,57,8,55,183,6,1,6,1.147,2023,226008076789094669336110092497395081706,rhp-s,10,"$10,000,000 ",Pitcher,AL,Central,769.0,['MIN'],['AL'],0,0,0.0
320581269842458603627336987308804016107_2023,Lance Lynn,36,LAD,0.2,13,11,4.36,32,32,0,0,0,183.2,189,33,117,44,67,191,9,0,3,1.266,2023,320581269842458603627336987308804016107,rhp-s,12,"$10,000,000 ",Pitcher,NL,West,816.0,"['LAD', 'CHW']","['AL', 'NL']",0,0,0.0
285969190963829088261821711494891976202_2023,Patrick Corbin,33,WSN,0.3,10,15,5.2,32,32,0,0,0,180.0,210,113,104,33,57,124,4,0,6,1.483,2023,285969190963829088261821711494891976202,lhp-s,11,"$35,416,667 ",Pitcher,NL,East,811.0,['WSN'],['NL'],0,0,0.0
108734815656214517965684477291023438395_2023,Blake Snell,30,SDP,6.5,14,9,2.25,32,32,0,0,0,180.0,115,47,45,15,99,234,3,2,13,1.189,2023,108734815656214517965684477291023438395,lhp-s,7,"$32,000,000 ",Pitcher,NL,West,757.0,['SDP'],['NL'],0,0,0.0
109396219842873205205602083757195252741_2023,Jesús Luzardo,25,MIA,4.7,10,10,3.58,32,32,0,0,0,178.2,162,79,71,22,55,208,6,1,7,1.215,2023,109396219842873205205602083757195252741,,740000,,,NL,East,759.0,['MIA'],['NL'],0,0,0.0
114168431361192576894837024259139796136_2023,Zach Eflin,29,TBR,3.6,16,8,3.5,31,31,0,0,0,177.2,158,69,69,19,24,186,3,0,0,1.024,2023,114168431361192576894837024259139796136,rhp-s,7,"$11,000,000 ",Pitcher,AL,East,718.0,['TBR'],['AL'],0,0,0.0
197318706979999519870766485428454732429_2023,Merrill Kelly,34,ARI,4.0,12,8,3.29,30,30,0,0,0,177.2,143,71,65,20,69,187,4,4,3,1.193,2023,197318706979999519870766485428454732429,rhp-s,5,"$8,500,000 ",Pitcher,NL,West,749.0,['ARI'],['NL'],0,0,0.0
313784804884008234146602548656115854534_2023,Jordan Lyles,32,KCR,-1.1,6,17,6.28,31,31,3,0,0,177.2,176,130,124,39,45,120,6,0,10,1.244,2023,313784804884008234146602548656115854534,rhp-s,12,"$8,500,000 ",Pitcher,AL,Central,760.0,['KCR'],['AL'],0,0,0.0
284912394640719458009200073184228142475_2023,Johan Oviedo,25,PIT,2.2,9,14,4.31,32,32,1,1,0,177.2,161,91,85,19,83,158,13,3,7,1.373,2023,284912394640719458009200073184228142475,rhp-s,2,"$765,000 ",Pitcher,NL,Central,790.0,['PIT'],['NL'],0,0,0.0
98978159932474937313622765962817632265_2023,Dylan Cease,27,CHW,2.2,7,9,4.58,33,33,0,0,0,177.0,172,98,90,19,79,214,9,0,14,1.418,2023,98978159932474937313622765962817632265,rhp-s,4,"$8,000,000 ",Pitcher,AL,Central,791.0,['CHW'],['AL'],0,0,0.0
287264138372932123723787983441768073392_2023,Bryce Elder,24,ATL,2.7,12,4,3.81,31,31,0,0,0,174.2,160,79,74,19,63,128,8,1,11,1.277,2023,287264138372932123723787983441768073392,rhp,1,,Pitcher,NL,East,755.0,['ATL'],['NL'],0,0,0.0
88216253350680747590647493920351739806_2023,Justin Steele,27,CHC,3.2,16,5,3.06,30,30,0,0,0,173.1,167,71,59,14,36,176,7,1,9,1.171,2023,88216253350680747590647493920351739806,lhp-s,2,"$4,000,000 ",Pitcher,NL,Central,730.0,['CHC'],['NL'],0,0,0.0
317709734809170083362733638107896131048_2023,Dane Dunning,28,TEX,2.7,12,7,3.7,35,26,0,0,0,172.2,163,73,71,20,55,140,10,0,6,1.263,2023,317709734809170083362733638107896131048,rhp,3,"$3,325,000 ",Pitcher,AL,West,746.0,['TEX'],['AL'],0,0,0.0
