Hashcode,Player,Age,Team,WAR,W,L,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,HBP,BK,WP,WHIP,MLS,Salary,League,Teams,Leagues,AB,2B,3B,Season,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days,BS,HLD,E
91709,Johan Oviedo,25,PIT,2.2,9,14,4.31,32,32,1,1,0,177.2,161,91,85,19,83,158,0,3,7,1.373,2.079,765000.0,NL,['PIT'],['NL'],692.5999999999999,0,0,"[2023, 2024, 2025]",0.31397210153212896,244,531.5999999999999,24.237499999999997,0,100,Active,0,0,0,0
453358,Zack Greinke,39,KCR,1.1,2,15,5.06,30,27,0,0,0,142.1,158,82,80,25,23,97,0,1,2,1.272,0.0,740000.0,AL,['KCR'],['AL'],584.3,0,0,"[2023, 2024, 2025]",0.29775280898876405,181,426.29999999999995,20.243333333333332,0,100,Active,0,0,0,0
262080,Julio Urías,26,LAD,0.6,11,8,4.6,21,21,0,0,0,117.1,112,61,60,24,24,117,0,1,2,1.159,0.0,740000.0,NL,['LAD'],['NL'],463.29999999999995,0,0,"[2023, 2024, 2025]",0.2786727578744891,136,351.29999999999995,23.204761904761902,0,100,Active,0,0,0,0
196292,Shane McClanahan,26,TBR,2.8,11,2,3.29,21,21,0,0,0,115.0,95,42,42,15,41,121,0,0,1,1.183,2.158,3600000.0,AL,['TBR'],['AL'],440.0,0,0,"[2023, 2024, 2025]",0.28281137939278034,136,345.0,22.904761904761905,0,100,Active,0,0,0,0
928604,Adam Wainwright,41,STL,-1.9,5,11,7.4,21,21,0,0,0,101.0,151,89,83,20,41,55,0,0,1,1.901,0.0,740000.0,NL,['STL'],['NL'],454.0,0,0,"[2023, 2024, 2025]",0.387880024484799,192,303.0,23.571428571428573,0,100,Active,0,0,0,0
369185,Alex Wood,32,SFG,0.6,5,5,4.33,29,12,0,0,0,97.2,98,52,47,9,42,74,0,2,3,1.433,10.123,8500000.0,NL,['SFG'],['NL'],389.6,0,0,"[2023, 2024, 2025]",0.3232573877735168,140,291.6,14.882758620689655,0,100,Active,0,0,0,0
670077,Ross Stripling,33,SFG,0.1,0,5,5.36,22,11,0,0,0,89.0,104,54,53,20,16,70,0,1,2,1.348,7.115,12500000.0,NL,['SFG'],['NL'],371.0,0,0,"[2023, 2024, 2025]",0.3100275988960442,120,267.0,17.59090909090909,0,100,Active,0,0,0,0
822528,Noah Syndergaard,30,CLE,-0.1,2,6,5.4,18,18,0,0,0,88.2,104,21,64,22,19,56,0,0,0,1.29,0.0,740000.0,AL,"['LAD', 'CLE']","['NL', 'AL']",368.6,0,0,"[2023, 2024, 2025]",0.30069930069930073,123,264.6,21.533333333333335,0,100,Active,0,0,0,0
673048,Jaime Barria,26,LAA,-0.9,2,6,5.68,34,6,0,0,0,82.1,91,63,52,20,30,62,0,1,4,1.47,0.0,740000.0,AL,['LAA'],['AL'],337.29999999999995,0,0,"[2023, 2024, 2025]",0.3288590604026846,121,246.29999999999998,10.802941176470586,0,100,Active,0,0,0,0
1046481,Zach Davies,30,ARI,-1.4,2,5,7.0,18,18,0,0,0,82.1,98,67,64,10,39,72,0,0,0,1.664,0.0,740000.0,NL,['ARI'],['NL'],344.29999999999995,0,0,"[2023, 2024, 2025]",0.3567753001715266,137,246.29999999999998,21.29444444444444,0,100,Active,0,0,0,0
914126,Shintaro Fujinami,29,BAL,-0.1,2,0,4.85,30,0,0,0,2,29.2,21,17,16,3,15,32,0,0,4,1.213,1.0,3350000.0,AL,['BAL'],['AL'],108.6,0,0,"[2023, 2024, 2025]",0.2879183479705673,36,87.6,4.12,0,100,Active,0,0,0,0
772199,Trevor Stephan,27,CLE,0.4,7,7,4.06,71,0,0,0,2,68.2,63,35,31,6,26,75,0,0,3,1.296,3.0,1600000.0,AL,['CLE'],['AL'],267.6,0,0,"[2023, 2024, 2025]",0.3016759776536313,89,204.60000000000002,4.1352112676056345,0,100,Active,0,0,0,0
