Hashcode,Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP,League,Teams,Leagues,AB,2B,3B,HBP,Season,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days,City,Mascot
936899,Rob Luzardo,FAY,26,38,35,3,1,236.0,222,86,209,31,21,11,15,1,0,1,3.25,1.07,SOL,['FAY'],['SOL'],930.0,0,0,0,[2023],0.2628992628992629,253,708.0,25.289473684210527,0,100,Active,0,Fayetteville,Viper
690984,Ryan Santana,HAV,28,42,35,2,1,228.0,206,88,240,48,23,19,10,1,0,0,3.47,1.12,ACB,['HAV'],['ACB'],890.0,0,0,0,[2023],0.2718446601941748,254,684.0,22.333333333333332,0,100,Active,0,Havre de Grace,Earthworm
998272,Alexis Rodon,NAS,33,37,34,2,3,229.0,173,65,240,51,21,17,7,0,0,1,2.63,0.98,ACB,['NAS'],['ACB'],860.0,0,0,0,[2023],0.24623115577889446,224,687.0,24.62162162162162,0,100,Active,0,Nashville,Shark
81119,Nathan Gibson,BOI,35,40,40,0,2,223.1,248,116,149,45,26,13,13,2,3,0,4.78,1.32,SOL,['BOI'],['SOL'],917.3,0,0,0,[2023],0.3055555555555555,293,669.3,24.057499999999997,0,100,Active,0,Boise City,Swordtail
568591,Michael Brazoban,ERI,34,36,33,3,1,219.0,194,88,205,65,33,18,8,0,0,3,3.6,1.18,ACB,['ERI'],['ACB'],851.0,0,0,0,[2023],0.2822966507177034,259,657.0,25.444444444444443,0,100,Active,0,Erie,Ox
137956,Ezequiel Diaz,MEL,29,32,34,3,4,220.0,179,84,218,64,20,14,12,1,3,1,3.45,1.13,ACB,['MEL'],['ACB'],839.0,0,0,0,[2023],0.27360774818401934,243,660.0,28.21875,0,100,Active,0,Melbourne,Cattle
561851,Carlos Rutschman,THO,30,37,35,2,2,218.0,174,76,243,60,31,17,10,0,2,3,3.34,1.1,ACB,['THO'],['ACB'],828.0,0,0,0,[2023],0.26829268292682934,234,654.0,24.0,0,100,Active,0,Thousand Oaks,Sole
760445,Hunter Martinez,PAS,27,38,33,3,1,213.1,207,100,230,60,29,13,9,1,1,1,4.21,1.25,SOL,['PAS'],['SOL'],846.3,0,0,0,[2023],0.29411764705882354,267,639.3,23.849999999999998,0,100,Active,0,Pasadena,Octopus
51657,Gerrit Perez,RIC,27,35,32,2,2,215.0,192,87,258,56,27,11,9,1,2,0,3.66,1.15,ACB,['RIC'],['ACB'],837.0,0,0,0,[2023],0.2771084337349397,248,645.0,25.514285714285716,0,100,Active,0,Richmond County,Llama
671660,Adam Batten,LEW,28,34,33,0,0,211.2,157,78,217,68,22,12,8,1,1,3,3.39,1.07,SOL,['LEW'],['SOL'],790.5999999999999,0,0,0,[2023],0.2628992628992629,225,633.5999999999999,25.252941176470586,0,100,Active,0,Lewisville,Bird
12481,James Renfroe,SAN,30,35,36,1,2,210.2,195,106,225,47,39,16,9,2,0,2,4.46,1.15,SOL,['SAN'],['SOL'],825.5999999999999,0,0,0,[2023],0.2771084337349397,242,630.5999999999999,24.93142857142857,0,100,Active,0,Santa Rosa,Panthera hybrid
