Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days
508835,Marcus Semien,TEX,2B,33,162,670,122,185,40,4,29,100,14,3,72,110,0,5,5,0.276,0.35,0.477,0.827,AL,['TEX'],['AL'],[2023],262,490,0,100,Active,0
268861,Julio Rodriguez,SEA,OF,22,155,654,102,180,37,2,32,103,37,10,47,175,0,2,11,0.275,0.334,0.484,0.818,AL,['SEA'],['AL'],[2023],238,485,0,100,Active,0
604527,Ronald Acuna,ATL,OF,25,159,643,149,217,35,4,41,106,73,14,80,84,0,3,9,0.337,0.418,0.595,1.012,NL,['ATL'],['NL'],[2023],306,435,0,100,Active,0
913881,Bobby Witt,KC,SS,23,158,641,97,177,28,11,30,96,49,15,40,121,1,8,4,0.276,0.322,0.494,0.816,AL,['KC'],['AL'],[2023],221,468,0,100,Active,0
864684,Trea Turner,PHI,SS,30,155,639,102,170,35,5,26,76,30,0,45,150,0,1,6,0.266,0.32,0.458,0.778,NL,['PHI'],['NL'],[2023],221,475,0,100,Active,0
77541,Steven Kwan,CLE,OF,26,158,638,93,171,36,7,5,54,21,3,70,75,1,6,3,0.268,0.343,0.369,0.712,AL,['CLE'],['AL'],[2023],244,470,0,100,Active,0
898369,Freddie Freeman,LAD,1B,34,161,637,131,211,59,2,29,102,23,1,72,121,0,5,16,0.331,0.412,0.566,0.978,AL,['LAD'],['AL'],[2023],299,442,0,100,Active,0
698420,Austin Riley,ATL,3B,26,159,636,117,179,32,3,37,97,3,1,59,172,0,11,9,0.281,0.35,0.515,0.865,NL,['ATL'],['NL'],[2023],247,466,0,100,Active,0
829179,Lane Thomas,WSH,OF,28,157,628,101,168,36,3,28,86,20,5,36,176,0,7,11,0.268,0.318,0.468,0.786,NL,['WSH'],['NL'],[2023],215,471,0,100,Active,0
29291,Nick Castellanos,PHI,OF,31,157,626,79,170,37,2,29,106,11,2,36,185,0,6,3,0.272,0.314,0.476,0.79,NL,['PHI'],['NL'],[2023],209,459,0,100,Active,0
453643,Teoscar Hernandez,SEA,OF,30,160,625,70,161,29,2,26,93,7,2,38,211,0,7,8,0.258,0.308,0.435,0.743,AL,['SEA'],['AL'],[2023],207,472,0,100,Active,0
631822,Nathaniel Lowe,TEX,1B,28,161,623,89,163,38,3,17,82,1,0,93,165,0,3,5,0.262,0.361,0.414,0.774,AL,['TEX'],['AL'],[2023],261,465,0,100,Active,0
972320,Alex Bregman,HOU,3B,29,161,622,103,163,28,4,25,98,3,1,92,87,0,2,8,0.262,0.364,0.44,0.804,AL,['HOU'],['AL'],[2023],263,467,0,100,Active,0
840432,Nico Hoerner,CHC,SS,26,150,619,98,175,27,4,9,68,43,7,49,83,1,5,14,0.283,0.348,0.382,0.73,NL,['CHC'],['NL'],[2023],238,458,0,100,Active,0
842624,George Springer,TOR,OF,34,154,613,87,158,25,1,21,72,20,5,60,125,0,3,5,0.258,0.328,0.404,0.732,AL,['TOR'],['AL'],[2023],223,460,0,100,Active,0
621771,Jose Ramirez,CLE,3B,31,156,611,87,172,36,5,24,80,28,6,73,73,0,6,1,0.282,0.359,0.474,0.833,AL,['CLE'],['AL'],[2023],246,440,0,100,Active,0
296864,Joey Meneses,WSH,1B,31,154,611,71,168,36,1,13,89,0,0,38,130,0,3,5,0.275,0.322,0.4,0.722,NL,['WSH'],['NL'],[2023],211,448,0,100,Active,0
777344,Matt Olson,ATL,1B,29,162,608,127,172,27,3,54,139,1,0,104,167,0,4,4,0.283,0.391,0.603,0.994,NL,['ATL'],['NL'],[2023],280,440,0,100,Active,0
883053,Spencer Torkelson,DET,1B,24,159,606,88,141,34,1,31,94,3,0,67,171,0,5,6,0.233,0.315,0.445,0.76,AL,['DET'],['AL'],[2023],214,471,0,100,Active,0
974670,Francisco Lindor,NYM,SS,29,160,602,108,153,33,2,31,98,31,4,66,137,0,7,12,0.254,0.339,0.47,0.808,NL,['NYM'],['NL'],[2023],231,461,0,100,Active,0
441426,Vladimir Guerrero,TOR,1B,24,156,602,78,159,30,0,26,94,5,3,67,100,0,4,9,0.264,0.346,0.443,0.788,AL,['TOR'],['AL'],[2023],235,452,0,100,Active,0
708706,Eugenio Suarez,SEA,3B,32,162,598,68,139,29,0,22,96,2,1,70,214,0,11,15,0.232,0.327,0.391,0.718,AL,['SEA'],['AL'],[2023],224,474,0,100,Active,0
848361,Xander Bogaerts,SD,SS,31,155,596,83,170,31,2,19,58,19,2,56,110,0,6,7,0.285,0.353,0.439,0.792,NL,['SD'],['NL'],[2023],233,433,0,100,Active,0
758502,Ozzie Albies,ATL,2B,26,148,596,96,167,30,5,33,109,13,1,46,107,0,8,8,0.28,0.34,0.513,0.853,NL,['ATL'],['NL'],[2023],221,437,0,100,Active,0
991968,Gleyber Torres,NYY,2B,26,158,596,90,163,28,2,25,68,13,6,67,98,0,6,3,0.273,0.349,0.453,0.802,AL,['NYY'],['AL'],[2023],233,436,0,100,Active,0
