Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days,City,Mascot
228208,Kyle Schmitt,JAC,2B,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['JAC'],['ACB'],2024,0,0,0,100,Active,0,Jacksonville,Barnacle
806593,Peyton Baty,THO,OF,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['THO'],['ACB'],2024,0,0,0,100,Active,0,Thousand Oaks,Sole
335290,David Noda,DEN,OF,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['DEN'],['SOL'],2024,0,0,0,100,Active,0,Denver,Land snail
675091,Korey Nelson,SAN,SS,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['SAN'],['ACB'],2024,0,0,0,100,Active,0,Santa Rosa,Panthera hybrid
703379,Ryan Gott,SAN,SS,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['SAN'],['SOL'],2024,0,0,0,100,Active,0,Santa Rosa,Panthera hybrid
694399,Jake Gray,RIC,OF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['RIC'],['ACB'],2024,0,0,0,100,Active,0,Richmond County,Llama
451957,Oliver Rizzo,SUN,1B,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['SUN'],['ACB'],2024,0,0,0,100,Active,0,Sunnyvale,Lamprey
549320,Patrick Teheran,DEN,3B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['DEN'],['SOL'],2024,0,0,0,100,Active,0,Denver,Land snail
45075,Bobby Kessinger,STE,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['STE'],['SOL'],2024,0,0,0,100,Active,0,Sterling Heights,Bovid
1007116,Quinn Yoshida,SAN,OF,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOL,['SAN'],['SOL'],2024,0,0,0,100,Active,0,Santa Rosa,Panthera hybrid
583985,Franmil Murphy,THO,OF,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['THO'],['ACB'],2024,0,0,0,100,Active,0,Thousand Oaks,Sole
954906,Joey Curtiss,JAC,1B,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACB,['JAC'],['ACB'],2024,0,0,0,100,Active,0,Jacksonville,Barnacle
