Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,WAR,salary,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days
508835,Marcus Semien,TEX,2B,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.37,26000000.0,AL,['TEX'],['AL'],2024,0,0,0,100,Active,0
268861,Julio Rodriguez,SEA,OF,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['SEA'],['AL'],2024,0,0,0,100,Active,0
604527,Ronald Acuna,ATL,OF,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,NL,['ATL'],['NL'],2024,0,0,0,100,Active,0
913881,Bobby Witt,KC,SS,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['KC'],['AL'],2024,0,0,0,100,Active,0
864684,Trea Turner,PHI,SS,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,27272727.0,NL,['PHI'],['NL'],2024,0,0,0,100,Active,0
77541,Steven Kwan,CLE,OF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,727300.0,AL,['CLE'],['AL'],2024,0,0,0,100,Active,0
898369,Freddie Freeman,LAD,1B,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52,27000000.0,AL,['LAD'],['AL'],2024,0,0,0,100,Active,0
698420,Austin Riley,ATL,3B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85,15000000.0,NL,['ATL'],['NL'],2024,0,0,0,100,Active,0
829179,Lane Thomas,WSH,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,2200000.0,NL,['WSH'],['NL'],2024,0,0,0,100,Active,0
29291,Nick Castellanos,PHI,OF,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,20000000.0,NL,['PHI'],['NL'],2024,0,0,0,100,Active,0
453643,Teoscar Hernandez,SEA,OF,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['SEA'],['AL'],2024,0,0,0,100,Active,0
631822,Nathaniel Lowe,TEX,1B,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,4050000.0,AL,['TEX'],['AL'],2024,0,0,0,100,Active,0
972320,Alex Bregman,HOU,3B,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,30500000.0,AL,['HOU'],['AL'],2024,0,0,0,100,Active,0
840432,Nico Hoerner,CHC,SS,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,2525000.0,NL,['CHC'],['NL'],2024,0,0,0,100,Active,0
842624,George Springer,TOR,OF,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,24166667.0,AL,['TOR'],['AL'],2024,0,0,0,100,Active,0
621771,Jose Ramirez,CLE,3B,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['CLE'],['AL'],2024,0,0,0,100,Active,0
296864,Joey Meneses,WSH,1B,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,723300.0,NL,['WSH'],['NL'],2024,0,0,0,100,Active,0
777344,Matt Olson,ATL,1B,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.37,21000000.0,NL,['ATL'],['NL'],2024,0,0,0,100,Active,0
883053,Spencer Torkelson,DET,1B,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,723100.0,AL,['DET'],['AL'],2024,0,0,0,100,Active,0
974670,Francisco Lindor,NYM,SS,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,34100000.0,NL,['NYM'],['NL'],2024,0,0,0,100,Active,0
441426,Vladimir Guerrero,TOR,1B,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['TOR'],['AL'],2024,0,0,0,100,Active,0
708706,Eugenio Suarez,SEA,3B,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['SEA'],['AL'],2024,0,0,0,100,Active,0
848361,Xander Bogaerts,SD,SS,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,25454545.0,NL,['SD'],['NL'],2024,0,0,0,100,Active,0
758502,Ozzie Albies,ATL,2B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,7000000.0,NL,['ATL'],['NL'],2024,0,0,0,100,Active,0
991968,Gleyber Torres,NYY,2B,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,9950000.0,AL,['NYY'],['AL'],2024,0,0,0,100,Active,0
410759,Paul Goldschmidt,STL,1B,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,26000000.0,NL,['STL'],['NL'],2024,0,0,0,100,Active,0
956850,Brandon Nimmo,NYM,OF,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,18500000.0,NL,['NYM'],['NL'],2024,0,0,0,100,Active,0
528436,Anthony Santander,BAL,OF,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,7400000.0,AL,['BAL'],['AL'],2024,0,0,0,100,Active,0
461082,Adley Rutschman,BAL,C,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,733900.0,AL,['BAL'],['AL'],2024,0,0,0,100,Active,0
840637,Ty France,SEA,1B,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,4100000.0,AL,['SEA'],['AL'],2024,0,0,0,100,Active,0
925981,Bryson Stott,PHI,SS,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,734500.0,NL,['PHI'],['NL'],2024,0,0,0,100,Active,0
