Hashcode,Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,League,Teams,Leagues,Season,Total_OB,Total_Outs,Game_Fatigue_Factor,Condition,Status,Injured Days
508835,Marcus Semien,TEX,2B,33,43,183,32,52,10,1,7,29,1,0,13,26,0,1,0,0.284,0.331,0.464,0.795,AL,['TEX'],['AL'],[2024],65,131,0,100,Active,0
114469,Bryan De La Cruz,MIA,OF,27,43,172,23,45,9,0,8,22,1,0,13,49,0,1,0,0.262,0.313,0.453,0.766,NL,['MIA'],['NL'],[2024],58,127,0,100,Active,0
157744,Maikel Garcia,KC,3B,24,42,172,20,41,9,1,4,24,9,0,13,35,1,2,0,0.238,0.291,0.372,0.663,AL,['KC'],['AL'],[2024],54,131,0,100,Active,0
905645,Fernando Tatis,SD,OF,25,44,171,29,43,6,1,8,22,6,1,18,42,0,1,3,0.251,0.333,0.438,0.771,NL,['SD'],['NL'],[2024],64,131,0,100,Active,0
848361,Xander Bogaerts,SD,SS,31,42,170,23,36,6,0,4,13,2,0,12,38,0,0,0,0.212,0.263,0.317,0.58,NL,['SD'],['NL'],[2024],48,134,0,100,Active,0
839511,Mookie Betts,LAD,OF,31,43,170,35,58,11,2,7,28,8,1,30,19,0,0,0,0.341,0.44,0.552,0.992,AL,['LAD'],['AL'],[2024],88,112,0,100,Active,0
602253,Ketel Marte,ARI,2B,30,42,169,30,49,12,1,9,24,1,0,14,38,0,5,1,0.29,0.347,0.532,0.879,AL,['ARI'],['AL'],[2024],64,121,0,100,Active,0
1022045,Jarren Duran,BOS,OF,27,41,168,23,44,9,6,1,16,9,2,15,41,0,1,2,0.262,0.329,0.404,0.733,AL,['BOS'],['AL'],[2024],61,126,0,100,Active,0
913881,Bobby Witt,KC,SS,23,43,168,38,51,11,5,5,21,15,5,16,31,0,1,2,0.304,0.37,0.517,0.887,AL,['KC'],['AL'],[2024],69,119,0,100,Active,0
461082,Adley Rutschman,BAL,C,26,39,165,23,51,6,0,8,25,1,0,8,30,0,1,1,0.309,0.344,0.49,0.834,AL,['BAL'],['AL'],[2024],60,115,0,100,Active,0
268861,Julio Rodriguez,SEA,OF,23,42,165,17,42,5,0,2,13,9,3,11,51,0,0,2,0.255,0.308,0.321,0.629,AL,['SEA'],['AL'],[2024],55,125,0,100,Active,0
621771,Jose Ramirez,CLE,3B,31,41,165,27,40,6,1,9,37,7,1,12,20,0,2,1,0.242,0.297,0.454,0.751,AL,['CLE'],['AL'],[2024],53,126,0,100,Active,0
476601,Jose Altuve,HOU,2B,34,40,165,27,52,9,0,7,14,7,1,15,30,0,0,2,0.315,0.379,0.496,0.875,AL,['HOU'],['AL'],[2024],69,115,0,100,Active,0
399490,Yandy Diaz,TB,1B,32,41,165,20,43,9,0,3,19,0,0,13,27,0,1,2,0.261,0.322,0.369,0.691,AL,['TB'],['AL'],[2024],58,124,0,100,Active,0
859480,Shohei Ohtani,LAD,DH,29,41,164,33,58,15,1,11,28,9,1,21,36,0,2,0,0.354,0.427,0.658,1.085,AL,['LAD'],['AL'],[2024],79,106,0,100,Active,0
162428,Bryan Reynolds,PIT,OF,29,42,164,16,42,11,1,5,19,2,0,24,38,0,0,0,0.256,0.351,0.426,0.776,NL,['PIT'],['NL'],[2024],66,122,0,100,Active,0
