Hashcode,Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP,WAR,salary,League,Teams,Leagues,AB,2B,3B,HBP,Season,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days
136721,Logan Webb,SF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,4600000.0,NL,['SF'],['NL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
136930,Zac Gallen,ARI,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,5600000.0,AL,['ARI'],['AL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
634680,Gerrit Cole,NYY,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44,36000000.0,AL,['NYY'],['AL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
805468,Miles Mikolas,STL,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,18750000.0,NL,['STL'],['NL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
56123,Chris Bassitt,TOR,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51,19000000.0,AL,['TOR'],['AL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
910018,Framber Valdez,HOU,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6800000.0,AL,['HOU'],['AL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
34843,Luis Castillo,SEA,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,11400000.0,AL,['SEA'],['AL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
775073,Mitch Keller,PIT,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,2437500.0,NL,['PIT'],['NL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
496167,Pablo Lopez,MIN,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['MIN'],['AL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
797557,Corbin Burnes,MIL,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,10010000.0,NL,['MIL'],['NL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
373835,Aaron Nola,PHI,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,16000000.0,NL,['PHI'],['NL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
776566,Kyle Gibson,BAL,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,10000000.0,AL,['BAL'],['AL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
545462,Zack Wheeler,PHI,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,24500000.0,NL,['PHI'],['NL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
289666,Logan Gilbert,SEA,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,767300.0,AL,['SEA'],['AL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
746697,George Kirby,SEA,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,758300.0,AL,['SEA'],['AL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
371859,Jose Berrios,TOR,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,AL,['TOR'],['AL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
155016,Spencer Strider,ATL,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,1000000.0,NL,['ATL'],['NL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
336996,Kevin Gausman,TOR,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,21000000.0,AL,['TOR'],['AL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
921092,Sandy Alcantara,MIA,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47,6300000.0,NL,['MIA'],['NL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
813348,Sonny Gray,MIN,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34,10483851.0,AL,['MIN'],['AL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
8975,Blake Snell,SD,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04,16600000.0,NL,['SD'],['NL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
935443,Patrick Corbin,WSH,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,24416667.0,NL,['WSH'],['NL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
126200,Jesus Luzardo,MIA,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,720000.0,NL,['MIA'],['NL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
91709,Johan Oviedo,PIT,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,735000.0,NL,['PIT'],['NL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
691332,Jordan Lyles,KC,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.31,8500000.0,AL,['KC'],['AL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
434018,Zach Eflin,TB,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,11000000.0,AL,['TB'],['AL'],0,0,0,0,2024,0,0,0,0,0,100,Active,0
