Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Marcus Semien,TEX,2B,33,42,179,32,51,9,1,7,29,1,0,13,26,0,1,0,.285,.332,.464,.796
Maikel Garcia,KC,3B,24,41,168,20,40,9,1,4,24,9,0,13,34,1,2,0,.238,.290,.375,.665
Fernando Tatis,SD,OF,25,43,167,29,43,6,1,8,22,6,1,17,41,0,1,3,.257,.335,.449,.784
Bryan De La Cruz,MIA,OF,27,42,167,22,44,9,0,8,21,1,0,13,47,0,1,0,.263,.315,.461,.776
Xander Bogaerts,SD,SS,31,41,166,22,35,6,0,3,12,2,0,12,36,0,0,0,.211,.264,.301,.565
Mookie Betts,LAD,OF,31,42,165,33,56,11,2,6,27,8,1,30,18,0,0,0,.339,.441,.539,.980
Jarren Duran,BOS,OF,27,40,165,23,43,9,6,1,16,9,1,15,40,0,1,2,.261,.328,.406,.734
Bobby Witt,KC,SS,23,42,164,37,50,11,5,5,21,15,5,16,31,0,1,2,.305,.372,.524,.896
Ketel Marte,ARI,2B,30,41,164,30,48,12,1,9,24,1,0,14,35,0,5,1,.293,.342,.543,.885
Jose Ramirez,CLE,3B,31,40,162,27,38,6,1,9,33,5,1,10,20,0,2,1,.235,.280,.451,.731
Anthony Volpe,NYY,SS,23,41,162,28,43,5,2,5,20,8,1,19,42,1,0,2,.265,.350,.414,.764
Adley Rutschman,BAL,C,26,38,161,21,49,6,0,6,23,1,0,8,30,0,1,1,.304,.339,.453,.792
Julio Rodriguez,SEA,OF,23,41,161,16,41,5,0,2,13,9,3,11,50,0,0,2,.255,.310,.323,.633
Jose Altuve,HOU,2B,34,39,161,26,51,9,0,7,13,7,1,15,29,0,0,1,.317,.379,.503,.882
Yandy Diaz,TB,1B,32,40,160,19,40,8,0,3,19,0,0,13,27,0,1,2,.250,.313,.356,.669
Matt Chapman,SF,3B,31,41,160,21,34,7,0,5,19,3,0,9,44,0,0,1,.213,.259,.350,.609
