Hashcode,Player,Age,Team,WAR,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,GIDP,HBP,SH,SF,Pos,MLS,Salary,League,Teams,Leagues,Season,Total_OB,Total_Outs,E,Game_Fatigue_Factor,Condition,Status,Injured Days,City,Mascot
745168,Beau Arcia,27,WAT,8.7,175,738,121,206,52,15,22,83,37,8,59,175,0.285,0.339,0.479,0.818,6,8,1,4,"['CF,LF']",1.151,760000.0,ACB,['WAT'],['ACB'],[2024],273,540,0,0,100,Active,0,Waterloo,Caribou
1011616,Hurston Fedde,29,SIO,9.2,176,700,146,217,43,7,61,146,66,8,86,177,0.31,0.39,0.652,1.042,8,7,0,5,[],6.0,70000000.0,NBL,['SIO'],['NBL'],[2024],310,490,0,0,100,Active,0,Sioux Falls,Guanaco
694046,Alec Pressly,23,MCH,9.1,174,693,128,195,32,7,42,102,22,7,87,178,0.281,0.367,0.529,0.896,4,7,2,4,['SS'],1.036,756200.0,ACB,['MCH'],['ACB'],[2024],289,505,0,0,100,Active,0,McHenry,Asp
225618,Gary Wong,33,JOL,4.1,175,717,108,167,29,2,29,78,8,3,71,117,0.237,0.304,0.4,0.704,11,3,2,2,['2B'],9.118,26000000.0,ACB,['JOL'],['ACB'],[2024],241,553,0,0,100,Active,0,Joliet,list
1036108,Jesús Yastrzemski,25,SHR,7.9,167,631,137,182,33,5,43,118,8,5,141,129,0.288,0.421,0.561,0.982,11,4,1,4,"['RF,LF']",5.134,31000000.0,ACB,['SHR'],['ACB'],[2024],327,453,0,0,100,Active,0,Shreveport,Moth
518075,Yu Madrigal,24,CHE,9.4,175,701,136,230,49,12,36,118,35,12,64,117,0.332,0.39,0.586,0.976,5,8,0,10,['SS'],2.0,3111111.0,ACB,['CHE'],['ACB'],[2024],302,479,0,0,100,Active,0,Chesapeake,Squirrel
275923,Andy Nimmo,32,SHR,10.8,173,611,131,198,39,2,63,158,11,0,148,188,0.322,0.462,0.703,1.165,24,10,2,2,"['CF,RF,LF']",7.051,40000000.0,ACB,['SHR'],['ACB'],[2024],356,423,0,0,100,Active,0,Shreveport,Moth
1109,Patrick Allen,25,SAN,6.2,170,677,107,216,50,2,32,112,2,6,78,106,0.323,0.394,0.54,0.934,20,6,1,4,"['1B,3B']",4.157,19900000.0,ACB,['SAN'],['ACB'],[2024],300,467,0,0,100,Active,0,Santa Rosa,Coyote
596212,Spencer Jacob,22,BOS,5.2,176,678,115,173,36,11,28,86,74,16,74,239,0.259,0.337,0.464,0.801,12,10,2,1,['SS'],0.118,742500.0,NBL,['BOS'],['NBL'],[2024],257,515,0,0,100,Active,0,Boston,Common household pests
1024296,Luken Assad,29,WES,2.6,178,670,99,159,36,2,38,99,3,0,80,187,0.24,0.332,0.467,0.799,14,15,0,4,['1B'],5.0,20500000.0,NBL,['WES'],['NBL'],[2024],254,526,0,0,100,Active,0,Westminster,Gila monster
832316,Lake Irvin,22,COR,3.7,171,720,91,194,50,5,28,85,6,7,28,217,0.269,0.301,0.469,0.77,19,5,9,9,['SS'],1.014,1714286.0,NBL,['COR'],['NBL'],[2024],227,531,0,0,100,Active,0,Corpus Christi,Ermine
433494,Miles Wade Jr.,29,SHR,3.7,172,684,83,186,33,6,29,97,14,3,59,173,0.275,0.338,0.464,0.802,8,10,0,3,"['LF,RF']",4.163,10250000.0,NBL,['SHR'],['NBL'],[2024],255,508,0,0,100,Active,0,Shreveport,Moth
68893,Justyn-Henry Gomes,31,POR,3.5,162,628,120,158,22,2,42,114,5,7,116,218,0.248,0.373,0.493,0.866,6,6,4,10,['LF'],8.086,20000000.0,NBL,['POR'],['NBL'],[2024],280,476,0,0,100,Active,0,Portsmouth,Penguin
332299,Jose Gurriel,30,WES,7.0,164,677,117,186,42,2,39,98,33,4,61,141,0.273,0.346,0.515,0.861,7,13,3,6,['SS'],8.113,34100000.0,NBL,['WES'],['NBL'],[2024],260,504,0,0,100,Active,0,Westminster,Gila monster
299335,Bobby Faucher,23,SHR,3.4,177,699,96,167,29,7,12,67,28,8,45,169,0.243,0.291,0.351,0.641,10,7,3,5,['SS'],1.0,810100.0,ACB,['SHR'],['ACB'],[2024],219,539,0,0,100,Active,0,Shreveport,Moth
28082,Chris Fried,28,TEM,3.1,178,674,103,168,37,2,36,123,22,6,78,193,0.251,0.328,0.47,0.798,13,1,0,4,['SS'],5.105,12250000.0,NBL,['TEM'],['NBL'],[2024],247,507,0,0,100,Active,0,Tempe,Steelhead trout
159526,Mike Rogers,33,RIV,4.3,177,667,102,199,36,0,44,112,1,0,80,186,0.302,0.377,0.55,0.927,25,5,0,5,[],10.124,18000000.0,NBL,['RIV'],['NBL'],[2024],284,473,0,0,100,Active,0,Riverside,Fancy rat
18417,Joshua De Los Santos,30,RIV,4.0,179,657,90,162,40,2,34,105,1,0,81,191,0.247,0.337,0.468,0.805,16,9,1,6,['1B'],6.103,22000000.0,NBL,['RIV'],['NBL'],[2024],252,504,0,0,100,Active,0,Riverside,Fancy rat
231176,Austin Lovelady,23,SOU,3.4,175,648,135,149,27,14,23,80,37,9,82,141,0.231,0.326,0.421,0.747,3,11,5,9,"['CF,RF']",1.038,3625000.0,NBL,['SOU'],['NBL'],[2024],242,510,0,0,100,Active,0,South Lyon,Toad
658236,Bryan Uribe,34,GRA,3.4,166,690,102,206,33,0,22,69,23,8,52,128,0.295,0.353,0.442,0.794,16,7,0,0,['2B'],12.072,29200000.0,ACB,['GRA'],['ACB'],[2024],265,491,0,0,100,Active,0,Grayslake,Spider monkey
