Hashcode,Player,Age,Team,WAR,W,L,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,HBP,BK,WP,WHIP,MLS,Salary,League,Teams,Leagues,AB,2B,3B,Season,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days,BS,HLD,E,City,Mascot
424920,Drew Crow-Armstrong,27,YON,2.8,9,14,3.23,35,38,1,0,0,230.2,161,88,86,30,42,241,0,0,12,0.887,2.144,4050000.0,ACB,['YON'],['ACB'],851.5999999999999,0,0,[2024],0.22819655261126834,203,690.5999999999999,25.53142857142857,0,100,Active,0,0,0,0,Yonkers,Guinea pig
921105,Ehire Richards,34,CHE,5.3,18,10,3.0,33,40,1,1,0,227.2,191,87,78,19,53,198,0,2,7,1.089,7.082,15000000.0,ACB,['CHE'],['ACB'],872.5999999999999,0,0,[2024],0.2663242846661775,244,681.5999999999999,28.048484848484847,0,100,Active,0,0,0,0,Chesapeake,Squirrel
933673,Marcus Hampson,27,TUS,3.7,13,10,3.47,34,37,3,1,0,225.2,224,89,85,12,53,190,0,1,8,1.231,4.044,8000000.0,NBL,['TUS'],['NBL'],899.5999999999999,0,0,[2024],0.29094776648546444,277,675.5999999999999,28.017647058823528,0,100,Active,0,0,0,0,Tuscaloosa,Fowl
169824,Reynaldo Medina,34,POR,6.1,18,8,2.57,34,33,1,1,0,223.0,153,66,58,20,58,246,0,1,8,0.955,10.098,23500000.0,NBL,['POR'],['NBL'],822.0,0,0,[2024],0.24146649810366624,211,669.0,25.88235294117647,0,100,Active,0,0,0,0,Portsmouth,Penguin
54541,Jesús Villalobos,31,POR,3.6,14,9,3.57,35,33,2,2,1,216.1,205,93,85,32,53,220,0,0,4,1.199,8.076,24571429.0,NBL,['POR'],['NBL'],853.3,0,0,[2024],0.2855441771850441,258,648.3,25.89428571428571,0,100,Active,0,0,0,0,Portsmouth,Penguin
597490,Ceddanne Myers,29,MCH,3.4,17,9,2.92,36,35,2,4,1,210.1,180,83,71,24,53,196,0,4,7,1.096,5.049,15637500.0,ACB,['MCH'],['ACB'],810.3,0,0,[2024],0.267578125,233,630.3,23.980555555555554,0,100,Active,0,0,0,0,McHenry,Asp
895627,Nick Zavala,30,SAN,2.2,16,12,3.6,39,34,1,0,1,213.1,182,84,84,31,58,168,0,3,1,1.154,0.0,740000.0,ACB,['SAN'],['ACB'],821.3,0,0,[2024],0.2778045257583052,240,639.3,22.546153846153846,0,100,Active,0,0,0,0,Santa Rosa,Coyote
699905,Marcell Whitley,27,NEW,6.3,20,5,2.39,35,31,0,0,0,212.0,158,61,53,16,38,252,0,4,2,0.922,3.114,2650000.0,ACB,['NEW'],['ACB'],794.0,0,0,[2024],0.2350841407445181,196,636.0,23.771428571428572,0,100,Active,0,0,0,0,Newport News,Raccoon
881947,Harrison Festa,26,YON,1.9,15,13,3.53,41,35,0,0,1,212.0,199,88,76,24,23,196,0,2,7,1.068,1.151,798600.0,ACB,['YON'],['ACB'],835.0,0,0,[2024],0.2625368731563422,222,636.0,20.926829268292682,0,100,Active,0,0,0,0,Yonkers,Guinea pig
900368,J.P. Headrick,28,MON,4.2,15,12,3.47,38,37,1,1,2,206.1,153,89,81,19,72,245,0,1,12,1.067,4.089,8000000.0,NBL,['MON'],['NBL'],771.3,0,0,[2024],0.2623555446274895,225,618.3,22.192105263157895,0,100,Active,0,0,0,0,Montgomery,Pigeon
889098,Ildemaro Alvarado,27,VIS,1.9,10,15,4.41,40,37,0,3,0,204.2,190,104,96,29,56,177,0,2,5,1.199,0.152,745600.0,NBL,['VIS'],['NBL'],802.5999999999999,0,0,[2024],0.2855441771850441,246,612.5999999999999,21.464999999999996,0,100,Active,0,0,0,0,Visalia,Elephant seal
827568,Jordan Riley,26,CHE,4.9,12,11,3.14,36,32,5,0,0,207.1,160,77,68,15,74,243,0,0,14,1.143,1.029,753750.0,ACB,['CHE'],['ACB'],781.3,0,0,[2024],0.275887038377987,234,621.3,23.758333333333333,0,100,Active,0,0,0,0,Chesapeake,Squirrel
46797,Steven Manoah,28,PHO,2.5,16,12,4.08,35,35,3,0,0,202.1,202,100,87,26,45,220,0,0,4,1.192,5.093,8250000.0,ACB,['PHO'],['ACB'],808.3,0,0,[2024],0.28435114503816794,247,606.3,24.38,0,100,Active,0,0,0,0,Phoenix,Stingray
1018977,Nick Durán,28,WAT,2.0,9,17,4.36,36,35,1,2,0,200.2,170,108,95,36,54,193,0,0,4,1.122,1.136,760000.0,ACB,['WAT'],['ACB'],770.5999999999999,0,0,[2024],0.2721979621542941,224,600.5999999999999,22.90555555555555,0,100,Active,0,0,0,0,Waterloo,Caribou
418491,Luke Trevino,30,WES,1.6,11,7,3.91,36,34,1,1,2,205.0,183,94,86,25,65,174,0,2,7,1.242,7.17,13000000.0,NBL,['WES'],['NBL'],798.0,0,0,[2024],0.2927864214992928,248,615.0,23.97222222222222,0,100,Active,0,0,0,0,Westminster,Gila monster
633073,Mitch Guerrero Jr.,32,WES,3.0,15,8,3.47,33,37,1,1,1,197.2,144,83,74,23,73,201,0,0,4,1.084,7.157,14500000.0,NBL,['WES'],['NBL'],735.5999999999999,0,0,[2024],0.26542605288932425,217,591.5999999999999,24.5030303030303,0,100,Active,0,0,0,0,Westminster,Gila monster
80689,Ángel Feyereisen,25,SOU,0.5,13,10,4.71,34,35,0,4,1,200.2,199,110,101,28,43,205,0,1,2,1.239,0.097,754400.0,NBL,['SOU'],['NBL'],799.5999999999999,0,0,[2024],0.2922859164897382,242,600.5999999999999,24.78235294117647,0,100,Active,0,0,0,0,South Lyon,Toad
354565,Tyler Arráez,27,POR,3.4,14,13,3.32,31,33,2,1,1,198.2,199,85,70,11,49,171,0,3,8,1.244,1.083,753500.0,NBL,['POR'],['NBL'],793.5999999999999,0,0,[2024],0.293119698397738,248,594.5999999999999,27.180645161290318,0,100,Active,0,0,0,0,Portsmouth,Penguin
910066,Juan Adams,33,SAN,0.9,19,13,3.83,34,33,2,1,0,200.0,183,94,82,25,61,179,0,4,3,1.221,9.151,24000000.0,ACB,['SAN'],['ACB'],783.0,0,0,[2024],0.2892679459843639,244,600.0,24.823529411764707,0,100,Active,0,0,0,0,Santa Rosa,Coyote
707231,Rob Warren,28,SEB,2.3,12,13,4.38,36,39,2,1,1,197.2,186,102,96,31,54,151,0,1,3,1.223,1.081,745000.0,ACB,['SEB'],['ACB'],777.5999999999999,0,0,[2024],0.28960454653090223,240,591.5999999999999,23.099999999999998,0,100,Active,0,0,0,0,Sebastian,Cod
207269,Iván Muñoz,25,YON,3.4,16,11,2.94,32,31,0,0,2,199.1,146,69,66,24,51,189,0,2,3,0.976,0.153,752600.0,ACB,['YON'],['ACB'],743.3,0,0,[2024],0.2454728370221328,197,597.3,24.821875,0,100,Active,0,0,0,0,Yonkers,Guinea pig
250276,Tyrone Brieske,27,CHE,3.1,10,15,3.71,37,35,0,1,0,194.2,189,83,81,22,60,185,0,1,3,1.275,3.156,4850000.0,ACB,['CHE'],['ACB'],771.5999999999999,0,0,[2024],0.29824561403508765,249,582.5999999999999,22.475675675675674,0,100,Active,0,0,0,0,Chesapeake,Squirrel
730286,Jacob Báez,34,SAI,3.1,11,17,3.81,34,34,0,1,0,201.1,173,92,84,24,84,154,0,1,4,1.288,8.065,13000000.0,ACB,['SAI'],['ACB'],776.3,0,0,[2024],0.3003731343283582,257,603.3,25.302941176470586,0,100,Active,0,0,0,0,Saint Petersburg,Platypus
550758,Merrill Bibee,28,WAT,3.5,13,10,3.12,34,31,2,1,1,194.2,173,81,71,16,53,167,0,3,4,1.142,2.1,770000.0,ACB,['WAT'],['ACB'],755.5999999999999,0,0,[2024],0.2757122163206181,226,582.5999999999999,23.78235294117647,0,100,Active,0,0,0,0,Waterloo,Caribou
