Hashcode,Player,Age,Team,WAR,W,L,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,HBP,BK,WP,WHIP,MLS,Salary,League,Teams,Leagues,AB,2B,3B,Season,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days,BS,HLD,E,City,Mascot
424920,Drew Crow-Armstrong,28,YON,2.8,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,12,0,2.144,4050000.0,ACB,['YON'],['ACB'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Yonkers,Guinea pig
921105,Ehire Richards,35,CHE,5.3,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,2,7,0,7.082,15000000.0,ACB,['CHE'],['ACB'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Chesapeake,Squirrel
933673,Marcus Hampson,28,TUS,3.7,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,1,8,0,4.044,8000000.0,NBL,['TUS'],['NBL'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Tuscaloosa,Fowl
169824,Reynaldo Medina,35,POR,6.1,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,1,8,0,10.098,23500000.0,NBL,['POR'],['NBL'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Portsmouth,Penguin
54541,Jesús Villalobos,32,POR,3.6,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,4,0,8.076,24571429.0,NBL,['POR'],['NBL'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Portsmouth,Penguin
597490,Ceddanne Myers,30,MCH,3.4,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,4,7,0,5.049,15637500.0,ACB,['MCH'],['ACB'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,McHenry,Asp
895627,Nick Zavala,31,SAN,2.2,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,3,1,0,0.0,740000.0,ACB,['SAN'],['ACB'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Santa Rosa,Coyote
699905,Marcell Whitley,28,NEW,6.3,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,4,2,0,3.114,2650000.0,ACB,['NEW'],['ACB'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Newport News,Raccoon
881947,Harrison Festa,27,YON,1.9,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,2,7,0,1.151,798600.0,ACB,['YON'],['ACB'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Yonkers,Guinea pig
900368,J.P. Headrick,29,MON,4.2,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,1,12,0,4.089,8000000.0,NBL,['MON'],['NBL'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Montgomery,Pigeon
889098,Ildemaro Alvarado,28,VIS,1.9,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,2,5,0,0.152,745600.0,NBL,['VIS'],['NBL'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Visalia,Elephant seal
827568,Jordan Riley,27,CHE,4.9,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,14,0,1.029,753750.0,ACB,['CHE'],['ACB'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Chesapeake,Squirrel
46797,Steven Manoah,29,PHO,2.5,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,4,0,5.093,8250000.0,ACB,['PHO'],['ACB'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Phoenix,Stingray
1018977,Nick Durán,29,WAT,2.0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,4,0,1.136,760000.0,ACB,['WAT'],['ACB'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Waterloo,Caribou
418491,Luke Trevino,31,WES,1.6,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,2,7,0,7.17,13000000.0,NBL,['WES'],['NBL'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Westminster,Gila monster
633073,Mitch Guerrero Jr.,33,WES,3.0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,4,0,7.157,14500000.0,NBL,['WES'],['NBL'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Westminster,Gila monster
80689,Ángel Feyereisen,26,SOU,0.5,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,1,2,0,0.097,754400.0,NBL,['SOU'],['NBL'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,South Lyon,Toad
354565,Tyler Arráez,28,POR,3.4,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,3,8,0,1.083,753500.0,NBL,['POR'],['NBL'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Portsmouth,Penguin
910066,Juan Adams,34,SAN,0.9,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,4,3,0,9.151,24000000.0,ACB,['SAN'],['ACB'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Santa Rosa,Coyote
707231,Rob Warren,29,SEB,2.3,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,1,3,0,1.081,745000.0,ACB,['SEB'],['ACB'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Sebastian,Cod
207269,Iván Muñoz,26,YON,3.4,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,2,3,0,0.153,752600.0,ACB,['YON'],['ACB'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Yonkers,Guinea pig
250276,Tyrone Brieske,28,CHE,3.1,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,1,3,0,3.156,4850000.0,ACB,['CHE'],['ACB'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Chesapeake,Squirrel
730286,Jacob Báez,35,SAI,3.1,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,1,4,0,8.065,13000000.0,ACB,['SAI'],['ACB'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Saint Petersburg,Platypus
550758,Merrill Bibee,29,WAT,3.5,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,3,4,0,2.1,770000.0,ACB,['WAT'],['ACB'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Waterloo,Caribou
501611,Matt Poche,29,PHO,2.9,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,2,3,0,2.093,761850.0,ACB,['PHO'],['ACB'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Phoenix,Stingray
552748,Tommy Manaea,29,SHR,2.0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,4,3,0,4.026,5854000.0,NBL,['SHR'],['NBL'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Shreveport,Moth
780895,Riley Teodosio,36,RIV,6.2,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,5,4,0,13.061,16000000.0,NBL,['RIV'],['NBL'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Riverside,Fancy rat
413224,Robbie Otañez,32,HEN,0.9,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,2,3,0,4.099,7500000.0,NBL,['HEN'],['NBL'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Henderson,Sperm whale
969578,Jackson Hendricks,31,GRA,4.5,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,1,10,0,4.163,12100000.0,ACB,['GRA'],['ACB'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Grayslake,Spider monkey
598916,Spencer Marté,34,GRA,1.3,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,6,0,5.0,10000000.0,ACB,['GRA'],['ACB'],0,0,0,2025,0,0,0,0,0,100,Active,0,0,0,0,Grayslake,Spider monkey
