Hashcode,Player,Age,Team,WAR,W,L,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,HBP,BK,WP,WHIP,MLS,Salary,League,Teams,Leagues,AB,2B,3B,Season,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days,BS,HLD,E
236342,Garrett Crochet,26,BOS,4.7,12,4,2.23,22,22,1,1,0,141.1,116,38,35,12,38,175,0,3,5,1.09,3.028,800000.0,AL,['BOS'],['AL'],539.3,0,0,[2025],0.2665036674816626,154,423.29999999999995,26.24090909090909,0,100,Active,0,0,0,0
136721,Logan Webb,28,SFG,2.3,9,8,3.31,23,23,0,0,0,141.1,143,56,52,10,34,155,0,0,2,1.252,4.044,8000000.0,NL,['SFG'],['NL'],566.3,0,0,[2025],0.2944496707431797,177,423.29999999999995,26.099999999999998,0,100,Active,0,0,0,0
860988,Max Fried,31,NYY,3.1,12,4,2.62,22,22,0,0,0,134.0,106,50,39,10,32,125,0,1,7,1.03,5.148,15000000.0,AL,['NYY'],['AL'],508.0,0,0,[2025],0.25558312655086846,138,402.0,24.545454545454547,0,100,Active,0,0,0,0
910018,Framber Valdez,31,HOU,4.6,11,4,2.62,21,21,2,0,0,134.0,105,40,39,8,44,141,0,0,6,1.112,4.163,12100000.0,AL,['HOU'],['AL'],507.0,0,0,[2025],0.2704280155642024,149,402.0,26.238095238095237,0,100,Active,0,0,0,0
647080,Tarik Skubal,28,DET,5.5,10,3,2.09,21,21,1,1,0,133.2,93,31,31,9,19,171,0,1,1,0.838,3.114,2650000.0,AL,['DET'],['AL'],492.59999999999997,0,0,[2025],0.21834288692027096,112,399.59999999999997,24.36190476190476,0,100,Active,0,0,0,0
545462,Zack Wheeler,35,PHI,5.0,9,4,2.56,21,21,1,0,0,133.2,91,40,38,14,28,172,0,0,1,0.89,10.098,23500000.0,NL,['PHI'],['NL'],490.59999999999997,0,0,[2025],0.2287917737789203,119,399.59999999999997,24.69523809523809,0,100,Active,0,0,0,0
364796,Zack Littell,29,TBR,2.4,8,8,3.58,22,22,1,0,0,133.1,128,53,53,26,21,89,0,0,2,1.118,4.043,1850000.0,AL,['TBR'],['AL'],527.3,0,0,[2025],0.2714910150558524,149,399.29999999999995,24.922727272727272,0,100,Active,0,0,0,0
666051,Paul Skenes,23,PIT,5.8,6,8,1.83,22,22,1,0,0,133.0,88,30,27,6,32,146,0,0,2,0.902,0.0,740000.0,NL,['PIT'],['NL'],487.0,0,0,[2025],0.23116350589441312,120,399.0,23.59090909090909,0,100,Active,0,0,0,0
872145,José Soriano,26,LAA,2.7,7,8,3.65,23,23,0,0,0,133.0,124,62,54,7,60,115,0,0,7,1.383,1.121,760000.0,AL,['LAA'],['AL'],523.0,0,0,[2025],0.31553730321697465,184,399.0,25.347826086956523,0,100,Active,0,0,0,0
184678,Bryan Woo,25,SEA,2.7,8,6,3.11,21,21,0,0,0,133.0,104,49,46,20,25,127,0,0,2,0.97,0.121,749000.0,AL,['SEA'],['AL'],503.0,0,0,[2025],0.2443324937027708,129,399.0,25.142857142857142,0,100,Active,0,0,0,0
