Hashcode,Player,Age,Team,WAR,W,L,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,HBP,BK,WP,WHIP,Season,Pos'n,Salary,2024 ,Role,League,Division,Player_Season_Key,PA,IP_Dec,BIP,IP_True,Years_Included,Projection_Method,AB,2B,3B,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days,BS,HLD,E,Age_Adjustment,Injury_Rate_Adj,Injury_Perf_Adj,Streak_Adjustment,Def_WAR
320581269842458603627336987308804016107,Lance Lynn,37,STL,0.3,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2026,rhp-s,12,"$10,000,000 ",Pitcher,NL,Central,320581269842458603627336987308804016107_2024,425.95406681435435,117.33329999999998,360.0,117.33329999999998,"[2020, 2021, 2022, 2023, 2023, 2024]",Trend,0,0,0,0.0,0,0.0,0.0,0,100,Active,0,0,0,0,0.0,0,0,0.0,0.0
7266224357258494687595103662601216968,Germán Márquez,31,SDP,-1.2,3,2,5.85,6,6,0,0,0,29.2,31,19,19,8,12,19,0,0,2,1.472,2026,rhp-s,7,"$10,000,000 ",Pitcher,NL,West,7266224357258494687595103662601216968_2026,214.56284238478074,29.6666,102.0,50.0,"[2020, 2021, 2022, 2023, 2025, 2026]",Trend,199,0,0,0.329,43,87.6,21.766,0,100,Active,0,0,0,0,0.0,0,0,0.0,-1.1399831499640014
104826615453893487082340336558702282565,Kyle Hendricks,35,LAA,1.7,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2026,rhp-s,9,"$16,000,000 ",Pitcher,AL,West,104826615453893487082340336558702282565_2025,622.9664700010412,164.66659999999996,552.0,167.95993199999995,"[2020, 2021, 2022, 2023, 2024, 2025]",Trend,0,0,0,0.0,0,0.0,0.0,0,100,Active,0,0,0,0,0.0,0,0,0.0,0.28156040266384474
67454795180836464074460619205074557396,Shane Bieber,30,TOR,0.7,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2026,rhp-s,5,"$13,125,000 ",Pitcher,AL,East,67454795180836464074460619205074557396_2025,207.63301446563807,40.3333,119.0,50.0,"[2020, 2021, 2022, 2023, 2024, 2025]",Trend,0,0,0,0.0,0,0.0,0.0,0,100,Active,0,0,0,0,0.0,0,0,0.0,0.307013905346719
50563646090346541520176716758214834685,Yu Darvish,38,SDP,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2026,rhp-s,12,"$16,000,000 ",Pitcher,NL,West,50563646090346541520176716758214834685_2025,255.69080128458654,72.0,220.0,72.0,"[2020, 2021, 2022, 2023, 2024, 2025]",Trend,0,0,0,0.0,0,0.0,0.0,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.5786228576761594
160627277650571226929575715229018270002,Aaron Civale,31,ATH,0.3,5,1,3.33,10,10,0,0,0,51.2,56,19,19,9,16,37,0,0,2,1.406,2026,rhp-s,4,"$4,900,000 ",Pitcher,AL,West,160627277650571226929575715229018270002_2026,219.31381393907097,51.66660000000001,175.0,51.66660000000001,"[2020, 2021, 2022, 2023, 2023, 2024, 2024, 2025, 2025, 2025, 2026]",Trend,207,0,0,0.319,72,153.60000000000002,22.56,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.6854564557819667
88410921634422269973166202706844818622,Brandon Woodruff,33,MIL,1.3,2,1,3.6,6,6,0,0,0,30.0,24,13,12,4,7,25,0,0,0,1.033,2026,rhp-s,5,"$2,500,000 ",Pitcher,NL,Central,88410921634422269973166202706844818622_2026,194.39853777238883,30.0,90.0,50.0,"[2020, 2021, 2022, 2023, 2025, 2026]",Trend,190,0,0,0.256,31,90.0,20.166,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.31417945550198323
141369181445612779946709373396476168051,Antonio Senzatela,31,COL,-0.5,3,0,1.19,14,0,0,0,3,30.1,17,5,4,1,8,26,0,0,0,0.83,2026,rhp-s,6,"$12,000,000 ",Pitcher,NL,West,141369181445612779946709373396476168051_2026,221.2079568054891,30.333300000000005,82.0,50.0,"[2020, 2021, 2022, 2024, 2025, 2026]",Trend,199,0,0,0.216,25,90.30000000000001,8.235,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.48887151771775755
9828719764495377829076689691665263586,Trevor Bauer,30,LAD,3.1,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2026,,740000,,,NL,West,9828719764495377829076689691665263586_2021,442.7910555926199,107.6666,260.0,107.6666,"[2020, 2021]",Trend,0,0,0,0.0,0,0.0,0.0,0,100,Active,0,0,0,0,0.0,0,0,0.0,0.0
194224023209722277274132019589574112220,Gerrit Cole,33,NYY,1.9,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2026,rhp-s,10,"$36,000,000 ",Pitcher,AL,East,194224023209722277274132019589574112220_2024,367.7652943454967,95.0,270.0,95.0,"[2020, 2021, 2022, 2023, 2024]",Trend,0,0,0,0.0,0,0.0,0.0,0,100,Active,0,0,0,0,0.0,0,0,0.0,0.0
158987175896159412710605144132786067377,Lucas Giolito,30,SDP,2.1,1,0,5.4,1,1,0,0,0,5.0,1,62,3,0,3,3,0,0,4,0.8,2026,rhp-s,6,"$18,000,000 ",Pitcher,AL,East,158987175896159412710605144132786067377_2025,617.5198558176692,145.0,446.0,145.0,"[2020, 2021, 2022, 2023, 2023, 2023, 2025]",Trend,569,0,0,0.21,4,15.0,19.0,0,100,Active,0,0,0,0,0.0,0,0,0.0,0.26326723878489466
112079525595244582850114200148831025259,Zac Gallen,30,ARI,1.1,2,4,4.77,10,10,0,0,0,49.0,55,30,26,7,15,34,0,0,1,1.428,2026,rhp-s,4,"$10,011,000 ",Pitcher,NL,West,112079525595244582850114200148831025259_2026,210.11332777342622,49.0,170.0,50.0,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",Trend,195,0,0,0.322,70,147.0,21.7,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.7059572500993887
196112672296838564746424125141733703839,Aaron Nola,33,PHI,-0.3,2,4,6.09,10,10,0,0,0,50.2,61,34,34,9,18,51,0,0,1,1.573,2026,rhp-s,8,"$24,571,429 ",Pitcher,NL,East,196112672296838564746424125141733703839_2026,198.72598293237434,50.66660000000001,162.0,50.66660000000001,"[2020, 2021, 2022, 2023, 2024, 2025, 2026]",Trend,205,0,0,0.343,79,150.60000000000002,22.96,0,100,Active,0,0,0,0,0.0,0,0,0.0,-1.174175460132623
