Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Sandy Alcantara,30,MIA,NL,1.2,3,2,.600,3.04,7,7,0,1,1,0,47.1,40,18,16,4,15,0,31,1,0,1,193,138,3.92,1.162,7.6,0.8,2.9,5.9,2.07,,alcansa01
2,Max Fried*,32,NYY,AL,1.9,4,1,.800,2.09,7,7,0,0,0,0,47.1,26,11,11,1,12,0,37,2,0,0,177,203,2.72,0.803,4.9,0.2,2.3,7.0,3.08,,friedma01
3,George Kirby,28,SEA,AL,1.1,4,2,.667,3.00,7,7,0,1,0,0,45.0,40,15,15,4,11,0,34,2,0,0,178,133,3.63,1.133,8.0,0.8,2.2,6.8,3.09,,kirbyge01
4,Tarik Skubal*,29,DET,AL,1.6,3,2,.600,2.70,7,7,0,0,0,0,43.1,35,14,13,2,6,0,45,1,0,0,166,160,2.13,0.946,7.3,0.4,1.2,9.3,7.50,,skubata01
5,Gavin Williams,26,CLE,AL,1.3,5,1,.833,2.70,7,7,0,0,0,0,43.1,25,14,13,6,19,0,53,1,0,0,171,157,3.86,1.015,5.2,1.2,3.9,11.0,2.79,,williga01
6,José Soriano,27,LAA,AL,2.6,5,1,.833,0.84,7,7,0,0,0,0,42.2,24,4,4,3,16,1,49,0,0,0,163,509,2.86,0.938,5.1,0.6,3.4,10.3,3.06,,soriajo02
7,Cam Schlittler,25,NYY,AL,1.7,4,1,.800,1.51,7,7,0,0,0,0,41.2,25,9,7,1,6,0,49,0,0,0,156,281,1.51,0.744,5.4,0.2,1.3,10.6,8.17,,schlica01
8,Taj Bradley,25,MIN,AL,1.4,3,1,.750,2.85,7,7,0,0,0,0,41.0,35,13,13,5,15,0,44,2,0,1,174,155,3.80,1.220,7.7,1.1,3.3,9.7,2.93,,bradlta01
9,Nathan Eovaldi,36,TEX,AL,-0.2,3,4,.429,4.76,7,7,0,0,0,0,39.2,43,23,21,9,10,0,39,2,0,3,173,79,5.01,1.336,9.8,2.0,2.3,8.8,3.90,,eovalna01
10,Tyler Glasnow,32,LAD,NL,1.1,3,0,1.000,2.56,6,6,0,0,0,0,38.2,19,11,11,4,13,1,47,0,0,0,144,158,3.04,0.828,4.4,0.9,3.0,10.9,3.62,,glasnty01
11,Joe Ryan,30,MIN,AL,0.3,2,3,.400,3.76,7,7,0,0,0,0,38.1,31,21,16,3,9,0,39,2,0,1,155,118,2.96,1.043,7.3,0.7,2.1,9.2,4.33,,ryanjo04
12,Luis Severino,32,ATH,AL,0.7,2,2,.500,4.46,7,7,0,0,0,0,38.1,32,19,19,4,23,0,40,2,0,0,162,103,4.34,1.435,7.5,0.9,5.4,9.4,1.74,,severlu01
13,Logan Gilbert,29,SEA,AL,0.4,1,3,.250,4.03,7,7,0,0,0,0,38.0,41,17,17,4,8,0,39,3,0,2,160,99,3.30,1.289,9.7,0.9,1.9,9.2,4.88,,gilbelo01
14,Seth Lugo,36,KCR,AL,1.2,1,1,.500,2.63,6,6,0,0,0,0,37.2,33,12,11,1,11,0,31,0,0,0,149,162,2.69,1.168,7.9,0.2,2.6,7.4,2.82,,lugose01
15,Yoshinobu Yamamoto,27,LAD,NL,0.6,2,2,.500,2.87,6,6,0,0,0,0,37.2,29,13,12,4,9,0,32,1,0,0,147,141,3.60,1.009,6.9,1.0,2.2,7.6,3.56,,yamamyo01
16,Michael Wacha,34,KCR,AL,1.0,2,2,.500,3.13,6,6,0,0,0,0,37.1,28,13,13,4,14,0,33,1,0,0,148,136,3.95,1.125,6.8,1.0,3.4,8.0,2.36,,wachami01
17,Bryce Elder,27,ATL,NL,1.0,3,1,.750,1.95,6,6,0,0,0,0,37.0,26,11,8,2,10,0,31,2,0,0,146,210,3.12,0.973,6.3,0.5,2.4,7.5,3.10,,elderbr01
18,Davis Martin,29,CHW,AL,1.9,4,1,.800,1.95,6,6,0,0,0,0,37.0,32,8,8,2,8,0,33,2,0,1,144,223,2.85,1.081,7.8,0.5,1.9,8.0,4.13,,martida03
19,Nick Martinez,35,TBR,AL,1.5,2,1,.667,1.70,6,6,0,0,0,0,37.0,28,7,7,3,9,0,24,0,0,0,147,252,3.60,1.000,6.8,0.7,2.2,5.8,2.67,,martini01
20,Logan Webb,29,SFG,NL,-0.2,2,3,.400,4.86,6,6,0,0,0,0,37.0,38,22,20,2,13,0,32,2,0,0,161,81,3.31,1.378,9.2,0.5,3.2,7.8,2.46,,webblo01
21,Parker Messick*,25,CLE,AL,1.8,3,0,1.000,1.73,6,6,0,0,0,0,36.1,22,7,7,1,10,0,38,1,0,1,135,245,2.29,0.881,5.4,0.2,2.5,9.4,3.80,,messipa01
22,Clay Holmes,33,NYM,NL,1.5,3,2,.600,1.75,6,6,0,0,0,0,36.0,24,7,7,3,11,0,25,1,1,2,142,228,3.81,0.972,6.0,0.8,2.8,6.3,2.27,,holmecl01
23,Jeffrey Springs*,33,ATH,AL,0.9,3,2,.600,3.79,6,6,0,0,0,0,35.2,25,15,15,5,11,0,31,1,0,0,142,121,4.21,1.009,6.3,1.3,2.8,7.8,2.82,,sprinje01
24,Tanner Bibee,27,CLE,AL,0.5,0,4,.000,4.08,7,7,0,0,0,0,35.1,37,16,16,5,14,0,32,0,0,2,153,104,4.33,1.443,9.4,1.3,3.6,8.2,2.29,,bibeeta01
25,Edward Cabrera,28,CHC,NL,0.3,3,0,1.000,3.06,6,6,0,0,0,0,35.1,30,14,12,3,12,0,29,1,0,0,144,124,3.68,1.189,7.6,0.8,3.1,7.4,2.42,,cabreed02
26,Nolan McLean,24,NYM,NL,0.8,1,2,.333,2.55,6,6,0,0,0,0,35.1,20,12,10,2,10,0,45,1,0,0,135,157,2.24,0.849,5.1,0.5,2.5,11.5,4.50,,mcleano01
27,Landen Roupp,27,SFG,NL,0.7,5,1,.833,2.55,6,6,0,0,0,0,35.1,18,12,10,1,14,0,37,2,0,1,137,155,2.75,0.906,4.6,0.3,3.6,9.4,2.64,,rouppla01
28,Kevin Gausman,35,TOR,AL,1.1,2,1,.667,2.57,6,6,0,0,0,0,35.0,27,11,10,3,6,0,38,0,1,0,138,174,2.58,0.943,6.9,0.8,1.5,9.8,6.33,,gausmke01
29,Jack Kochanowicz,25,LAA,AL,0.8,2,0,1.000,3.09,6,6,0,0,0,0,35.0,24,14,12,1,18,0,24,1,0,1,147,139,3.75,1.200,6.2,0.3,4.6,6.2,1.33,,kochaja01
30,Chris Sale*,37,ATL,NL,1.1,5,1,.833,2.31,6,6,0,0,0,0,35.0,23,9,9,5,9,0,38,4,0,0,137,176,3.92,0.914,5.9,1.3,2.3,9.8,4.22,,salech01
31,Ranger Suárez*,30,BOS,AL,0.7,2,2,.500,3.09,6,6,0,0,0,0,35.0,24,12,12,3,9,0,29,0,0,0,132,135,3.35,0.943,6.2,0.8,2.3,7.5,3.22,,suarera01
32,Bryan Woo,26,SEA,AL,0.3,1,2,.333,3.86,6,6,0,0,0,0,35.0,31,17,15,4,6,0,27,2,1,0,141,104,3.75,1.057,8.0,1.0,1.5,6.9,4.50,,woobr01
33,Emerson Hancock,27,SEA,AL,0.8,2,1,.667,2.86,6,6,0,0,0,0,34.2,28,11,11,7,6,0,32,2,0,1,132,140,4.59,0.981,7.3,1.8,1.6,8.3,5.33,,hancoem01
34,Jameson Taillon,34,CHC,NL,0.0,2,1,.667,4.41,6,6,0,0,0,0,34.2,27,18,17,9,13,1,31,1,0,0,141,86,5.92,1.154,7.0,2.3,3.4,8.0,2.38,,taillja01
35,Shota Imanaga*,32,CHC,NL,0.6,2,2,.500,3.15,6,6,0,0,0,0,34.1,21,12,12,3,9,0,38,0,0,2,133,121,2.83,0.874,5.5,0.8,2.4,10.0,4.22,,imanash01
36,Jesús Luzardo*,28,PHI,NL,0.4,2,3,.400,5.50,6,6,0,0,0,0,34.1,35,22,21,3,9,0,41,1,0,3,145,79,2.74,1.282,9.2,0.8,2.4,10.7,4.56,,luzarje01
37,Framber Valdez*,32,DET,AL,0.8,2,1,.667,3.41,6,6,0,0,0,0,34.1,31,14,13,2,14,0,24,1,0,1,148,127,3.79,1.311,8.1,0.5,3.7,6.3,1.71,,valdefr01
