Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Marcus Semien,TEX,2B,34,162,670,122,185,40,4,29,100,14,3,72,110,0,5,5,.276,.348,.478,.826
Julio Rodriguez,SEA,OF,24,155,654,102,180,37,2,32,103,37,10,47,175,0,2,11,.275,.333,.485,.818
Ronald Acuna,ATL,OF,27,159,643,149,217,35,4,41,106,73,14,80,84,0,3,9,.337,.416,.596,1.012
Bobby Witt,KC,SS,25,158,641,97,177,28,11,30,96,49,15,40,121,1,8,4,.276,.319,.495,.814
Trea Turner,PHI,SS,32,155,639,102,170,35,5,26,76,30,0,45,150,0,1,6,.266,.320,.459,.779
Steven Kwan,CLE,OF,27,158,638,93,171,36,7,5,54,21,3,70,75,1,6,3,.268,.340,.370,.710
Freddie Freeman,LAD,1B,35,161,637,131,211,59,2,29,102,23,1,72,121,0,5,16,.331,.410,.567,.977
Austin Riley,ATL,3B,28,159,636,117,179,32,3,37,97,3,1,59,172,0,11,9,.281,.345,.516,.861
Lane Thomas,WAS,OF,29,157,628,101,168,36,3,28,86,20,5,36,176,0,7,11,.268,.315,.468,.783
Nick Castellanos,PHI,OF,33,157,626,79,170,37,2,29,106,11,2,36,185,0,6,3,.272,.311,.476,.787
Teoscar Hernandez,SEA,OF,32,160,625,70,161,29,2,26,93,7,2,38,211,0,7,8,.258,.305,.435,.740
Nathaniel Lowe,TEX,1B,30,161,623,89,163,38,3,17,82,1,0,93,165,0,3,5,.262,.360,.414,.774
Alex Bregman,HOU,3B,31,161,622,103,163,28,4,25,98,3,1,92,87,0,2,8,.262,.363,.441,.804
Nico Hoerner,CHC,2B,28,150,619,98,175,27,4,9,68,43,7,49,83,1,5,14,.283,.346,.383,.729
George Springer,TOR,OF,35,154,613,87,158,25,1,21,72,20,5,60,125,0,3,5,.258,.327,.405,.732
Jose Ramirez,CLE,3B,32,156,611,87,172,36,5,24,80,28,6,73,73,0,6,1,.282,.356,.475,.831
Joey Meneses,WAS,DH,33,154,611,71,168,36,1,13,89,0,0,38,130,0,3,5,.275,.321,.401,.722
Matt Olson,ATL,1B,31,162,608,127,172,27,3,54,139,1,0,104,167,0,4,4,.283,.389,.604,.993
Spencer Torkelson,DET,1B,25,159,606,88,141,34,1,31,94,3,0,67,171,0,5,6,.233,.313,.446,.759
Francisco Lindor,NYM,SS,31,160,602,108,153,33,2,31,98,31,4,66,137,0,7,12,.254,.336,.470,.806
